Sector subsector y rama,Total 2022,Total 2023,IDE 2022 - 2023
3326 Fabricación de alambre productos de alambre y resortes,11.7,5.6,11.75.6
3327 Maquinado de piezas y fabricación de tornillos,28.2,17.5,28.217.5
3329 Fabricación de otros productos metálicos,28.0,36.3,28.036.3
333 Fabricación de maquinaria y equipo,298.6,49.2,298.649.2
3331 Fabricación de maquinaria y equipo agropecuario para la construcción y para la industria extractiva,83.0,-88.8,83.0-88.8
3332 Fabricación de maquinaria y equipo para las industrias manufactureras excepto la metalmecánica,-193.8,107.1,-193.8107.1
3333 Fabricación de maquinaria y equipo para el comercio y los servicios,18.6,29.3,18.629.3
3334 Fabricación de equipo de aire acondicionado  calefacción  y de refrigeración industrial y comercial,463.3,-138.5,463.3-138.5
3335 Fabricación de maquinaria y equipo para la industria metalmecánica,2.1,21.7,2.121.7
3336 Fabricación de motores de combustión interna turbinas y transmisiones,33.7,57.6,33.757.6
3339 Fabricación de otra maquinaria y equipo para la industria en general,-108.3,60.9,-108.360.9
334 Fabricación de equipo de computación  comunicación  medición y de otros equipos componentes y accesorios electrónicos,"1,103.7","2,068.2","1,103.72,068.2"
3341 Fabricación de computadoras y equipo periférico,50.9,15.4,50.915.4
3342 Fabricación de equipo de comunicación,155.6,188.7,155.6188.7
3343 Fabricación de equipo de audio y de video,138.9,424.7,138.9424.7
3344 Fabricación de componentes electrónicos,836.8,841.5,836.8841.5
3345 Fabricación de instrumentos de medición control navegación y equipo médico electrónico,-122.9,536.3,-122.9536.3
3346 Fabricación y reproducción de medios magnéticos y ópticos,44.4,61.7,44.461.7
335 Fabricación de accesorios  aparatos eléctricos y equipo de generación de energía eléctrica,636.0,842.5,636.0842.5
3351 Fabricación de accesorios de iluminación,10.5,15.8,10.515.8
3352 Fabricación de aparatos eléctricos de uso doméstico,57.4,443.6,57.4443.6
3353 Fabricación de equipo de generación y distribución de energía eléctrica,343.9,172.0,343.9172.0
3359 Fabricación de otros equipos y accesorios eléctricos,224.3,211.1,224.3211.1
336 Fabricación de equipo de transporte,"4,312.1","7,230.8","4,312.17,230.8"
3361 Fabricación de automóviles y camiones,"3,017.5","5,092.0","3,017.55,092.0"
3362 Fabricación de carrocerías y remolques,13.1,1.6,13.11.6
3363 Fabricación de partes para vehículos automotores,"1,015.2","1,914.4","1,015.21,914.4"
3364 Fabricación de equipo aeroespacial,221.0,227.5,221.0227.5
3365 Fabricación de equipo ferroviario,33.9,-15.0,33.9-15.0
337 Fabricación de muebles colchones y persianas,-2.9,60.6,-2.960.6
3371 Fabricación de muebles excepto de oficina y estantería,-3.2,59.8,-3.259.8
339 Otras industrias manufactureras,101.6,335.5,101.6335.5
3391 Fabricación de equipo no electrónico y material desechable de uso médico  dental y para laboratorio y artículos oftálmicos,86.8,130.3,86.8130.3
3399 Otras industrias manufactureras,14.7,205.2,14.7205.2
43 Comercio al por mayor,326.4,916.4,326.4916.4
