Sector subsector y rama,Total 2022,Total 2023,IDE 2022-2023,Concepto,PIB 2022-2023,IDE 23 al 24
5231 Casas de bolsa casas de cambio y centros cambiarios,-4,283.5, 279.50 ,,,
5239 Asesoría en inversiones y otros servicios relacionados con la intermediación bursátil,213.1,64, 277.10 ,,,
524 Compañías de seguros  fianzas  y administración de fondos para el retiro,256.7,244, 500.70 ,,,
5241 Compañías de seguros y fianzas,255.5,243.3, 498.80 ,,,
5242 Servicios relacionados con los seguros y las fianzas y administración de fondos para el retiro,1.1,0.7, 1.80 ,,,
525 Sociedades de inversión especializadas en fondos para el retiro y fondos de inversión,"1,156.30",252," 1,408.30 ",,,
5252 Fondos de inversión,"1,156.30",252," 1,408.30 ",,,
53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,451.8,360.1, 811.90 ,,,
531 Servicios inmobiliarios,164,193.9, 357.90 ,,,
5311 Alquiler sin intermediación de bienes raíces,29.7,1.1, 30.80 ,,,
5312 Inmobiliarias y corredores de bienes raíces,69.8,83.1, 152.90 ,,,
5313 Servicios relacionados con los servicios inmobiliarios,64.5,109.7, 174.20 ,,,
532 Servicios de alquiler de bienes muebles,284.7,158.3, 443.00 ,,,
5321 Alquiler de automóviles camiones y otros transportes terrestres,242.9,161, 403.90 ,,,
5324 Alquiler de maquinaria y equipo agropecuario pesquero industrial  comercial y de servicios,41.8,-4.5, 37.30 ,,,
533 Servicios de alquiler de marcas registradas patentes y franquicias,3.1,7.9, 11.00 ,,,
5331 Servicios de alquiler de marcas registradas patentes y franquicias,3.1,7.9, 11.00 ,,,
54 Servicios profesionales científicos y técnicos,36,528.4, 564.40 ,,,
541 Servicios profesionales científicos y técnicos,36,528.4, 564.40 ,,,
5412 Servicios de contabilidad auditoría y servicios relacionados,38.1,65.7, 103.80 ,,,
5413 Servicios de arquitectura ingeniería y actividades relacionadas,-62.8,43.1,-19.70 ,,,
5415 Servicios de diseño de sistemas de cómputo y servicios relacionados,-2.4,370.7, 368.30 ,,,
5416 Servicios de consultoría administrativa científica y técnica,-49.4,71.2, 21.80 ,,,
5417 Servicios de investigación científica y desarrollo,-16.3,-92.7,-109.00 ,,,
5418 Servicios de publicidad y actividades relacionadas,47.3,1.3, 48.60 ,,,
5419 Otros servicios profesionales científicos y técnicos,82.5,64.2, 146.70 ,,,
55 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7, 6.80 ,,,
551 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7, 6.80 ,,,
5511 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7, 6.80 ,,,
56 Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación,223.6,-1.9, 221.70 ,,,
561 Servicios de apoyo a los negocios,223.6,-1.9, 221.70 ,,,
5611 Servicios de administración de negocios,78.3,19.3, 97.60 ,,,
5613 Servicios de empleo,11.4,-20.8,-9.40 ,,,
5614 Servicios de apoyo secretarial fotocopiado cobranza investigación crediticia y similares,-1.3,9.3, 8.00 ,,,
5615 Agencias de viajes y servicios de reservaciones,10,3.4, 13.40 ,,,
5619 Otros servicios de apoyo a los negocios,123.2,66.6, 189.80 ,,,
61 Servicios educativos,29.5,16, 45.50 ,,,
611 Servicios educativos,29.5,16, 45.50 ,,,
62 Servicios de salud y de asistencia social,-13.1,0.6,-12.50 ,,,
621 Servicios médicos de consulta externa y servicios relacionados,5.1,0.6, 5.70 ,,,
71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,51.8,19, 70.80 ,,,
713 Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,50.2,19, 69.20 ,,,
7131 Parques con instalaciones recreativas y casas de juegos electrónicos,15.3,9.1, 24.40 ,,,
7139 Otros servicios recreativos,34.8,9.9, 44.70 ,,,
72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,"2,323.50","2,646.50"," 4,970.00 ",,,
721 Servicios de alojamiento temporal,"2,323.50","2,642.00"," 4,965.50 ",,,
7211 Hoteles moteles y similares,875.7,657.1," 1,532.80 ",,,
7213 Pensiones y casas de huéspedes y departamentos y casas amueblados con servicios de hotelería,"1,447.80","1,984.90"," 3,432.70 ",,,
81 Otros servicios excepto actividades gubernamentales,-5.4,25.5, 20.10 ,,,
811 Servicios de reparación y mantenimiento,-10.6,22.7, 12.10 ,,,
8112 Reparación y mantenimiento de equipo electrónico y de equipo de precisión,-1.9,2.5, 0.60 ,,,
8113 Reparación y mantenimiento de maquinaria y equipo agropecuario industrial  comercial y de servicios,-19.2,-1,-20.20 ,,,
812 Servicios personales,5.2,2.9, 8.10 ,,,
8129 Servicios de revelado e impresión de fotografías y otros servicios personales,5,2.8, 7.80 ,,,
Total,"36,298.90","36,282.10"," 72,581.00 ",,,
