Sector subsector y rama,Total 2022,Total 2023,IDE 2022-2023,Concepto,PIB 2022-2023,IDE 23 al 24
3141 Confección de alfombras  blancos y similares,20.3,19.2, 39.50 ,"3169 - Fabricación de otros productos de cuero, piel y materiales sucedáneos",13269.711, 7.30 
3149 Fabricación de otros productos textiles excepto prendas de vestir,10.7,-1.9, 8.80 ,321 - Industria de la madera,103426.468, 30.40 
315 Fabricación de prendas de vestir,62.5,-4.5, 58.00 ,3211 - Aserrado y conservación de la madera,48006.144,
3151 Fabricación de prendas de vestir de tejido de punto,7.5,4.6, 12.10 ,3212 - Fabricación de laminados y aglutinados de madera,6297.827,
3152 Confección de prendas de vestir,39.7,-4, 35.70 ,3219 - Fabricación de otros productos de madera,49122.496, 30.40 
3159 Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,15.4,-5.1, 10.30 ,322 - Industria del papel,268802.285," 1,423.50 "
316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,2.7,4.7, 7.40 ,"3221 - Fabricación de pulpa, papel y cartón",92284.752," 1,270.80 "
3162 Fabricación de calzado,2.7,2.5, 5.20 ,3222 - Fabricación de productos de cartón y papel,176517.533, 152.70 
3169 Fabricación de otros productos de cuero piel y materiales sucedáneos,6.4,0.9, 7.30 ,323 - Impresión e industrias conexas,64526.283,-11.20 
321 Industria de la madera,0.7,29.7, 30.40 ,3231 - Impresión e industrias conexas,64526.283,-11.20 
3219 Fabricación de otros productos de madera,0.7,29.7, 30.40 ,324 - Fabricación de productos derivados del petróleo y del carbón,347788.744, 10.90 
322 Industria del papel,"1,173.30",250.2," 1,423.50 ",3241 - Fabricación de productos derivados del petróleo y del carbón,347788.744, 10.90 
3221 Fabricación de pulpa  papel y cartón,"1,160.90",109.9," 1,270.80 ",325 - Industria química,884991.464," 2,414.90 "
3222 Fabricación de productos de cartón y papel,12.4,140.3, 152.70 ,3251 - Fabricación de productos químicos básicos,232250.51,-121.20 
323 Impresión e industrias conexas,-3.2,-8,-11.20 ,"3252 - Fabricación de resinas y hules sintéticos, y fibras químicas",115377.037, 47.20 
3231 Impresión e industrias conexas,-3.2,-8,-11.20 ,"3253 - Fabricación de fertilizantes, pesticidas y otros agroquímicos",59686.699,
324 Fabricación de productos derivados del petróleo y del carbón,5.9,5, 10.90 ,3254 - Fabricación de productos farmacéuticos,206729.056," 2,235.10 "
3241 Fabricación de productos derivados del petróleo y del carbón,5.9,5, 10.90 ,"3255 - Fabricación de pinturas, recubrimientos y adhesivos",62819.253,-105.60 
325 Industria química,"1,320.40","1,094.50"," 2,414.90 ","3256 - Fabricación de jabones, limpiadores y preparaciones de tocador",154439.832, 93.60 
3251 Fabricación de productos químicos básicos,-368.2,247,-121.20 ,3259 - Fabricación de otros productos químicos,53689.077, 187.90 
3252 Fabricación de resinas y hules sintéticos  y fibras químicas,48.3,-1.1, 47.20 ,326 - Industria del plástico y del hule,403439.157," 1,198.70 "
3254 Fabricación de productos farmacéuticos,958.3,"1,276.80"," 2,235.10 ",3261 - Fabricación de productos de plástico,320733.911, 840.70 
3255 Fabricación de pinturas  recubrimientos y adhesivos,101,-206.6,-105.60 ,3262 - Fabricación de productos de hule,82705.246, 358.10 
3256 Fabricación de jabones limpiadores y preparaciones de tocador,348.5,-254.9, 93.60 ,327 - Fabricación de productos a base de minerales no metálicos,419784.978, 56.10 
3259 Fabricación de otros productos químicos,128.1,59.8, 187.90 ,3271 - Fabricación de productos a base de arcillas y minerales refractarios,76541.644,-3.80 
326 Industria del plástico y del hule,719.8,478.9," 1,198.70 ",3272 - Fabricación de vidrio y productos de vidrio,82115.943, 158.50 
3261 Fabricación de productos de plástico,311.8,528.9, 840.70 ,3273 - Fabricación de cemento y productos de concreto,214415.139,
3262 Fabricación de productos de hule,408.1,-50, 358.10 ,"3274 - Fabricación de cal, yeso y productos de yeso",23758.662,
327 Fabricación de productos a base de minerales no metálicos,37.8,18.3, 56.10 ,3279 - Fabricación de otros productos a base de minerales no metálicos,22953.59, 8.00 
3271 Fabricación de productos a base de arcillas y minerales refractarios,-6.5,2.7,-3.80 ,331 - Industrias metálicas básicas,714747.63," 4,862.00 "
3272 Fabricación de vidrio y productos de vidrio,71.5,87, 158.50 ,3311 - Industria básica del hierro y del acero,139900.198," 4,318.80 "
3279 Fabricación de otros productos a base de minerales no metálicos,7.4,0.6, 8.00 ,3312 - Fabricación de productos de hierro y acero,199111.022, 366.50 
331 Industrias metálicas básicas,"2,579.00","2,283.00"," 4,862.00 ",3313 - Industria básica del aluminio,38692.693, 14.80 
