Sector subsector y rama,1,2,3,4,2006,1.1,2.1,3.1,4.1,2007,1.2,2.2,3.2,4.2,Unnamed: 15,1.3,2.3,3.3,4.3,Unnamed: 20,1.4,2.4,3.4,4.4,Unnamed: 25,1.5,2.5,3.5,4.5,Unnamed: 30,1.6,2.6,3.6,4.6,Unnamed: 35,1.7,2.7,3.7,4.7,Unnamed: 40,1.8,2.8,3.8,4.8,Unnamed: 45,1.9,2.9,3.9,4.9,Unnamed: 50,1.10,2.10,3.10,4.10,Unnamed: 55,1.11,2.11,3.11,4.11,Unnamed: 60,1.12,2.12,3.12,4.12,Unnamed: 65,1.13,2.13,3.13,4.13,Unnamed: 70,1.14,2.14,3.14,4.14,Unnamed: 75,1.15,2.15,3.15,4.15,Total 2021,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
3254 Fabricación de productos farmacéuticos,5.3,151.5,44.9,276.4,478.0,444.2,26.4,88.0,427.8,986.6,320.8,196.2,107.6,-43.6,581.0,159.8,435.0,-86.6,300.1,808.4,33.1,-85.3,80.5,220.6,248.9,40.0,-43.3,181.7,370.5,548.9,457.6,227.3,-4.1,9.6,690.4,144.7,521.3,-9.3,480.0,"1,136.7",-93.4,-3.9,135.7,395.7,434.2,142.6,-1.8,-86.6,119.7,173.9,"2,547.6",88.8,58.0,-70.9,"2,623.4",223.5,-93.1,-77.6,-176.9,-124.1,332.1,112.0,50.3,15.0,509.4,223.5,-47.0,443.3,389.6,"1,009.4",352.9,201.9,-150.4,-35.6,368.9,418.5,160.6,217.1,-263.2,532.9,854.1,237.1,85.5,-218.3,958.3,689.2,96.6,553.1,-62.1,"1,276.8",671.6,300.4,972.0,"14,213.9"
3255 Fabricación de pinturas  recubrimientos y adhesivos,4.1,3.0,2.0,22.7,31.7,10.1,9.0,14.8,134.3,168.2,3.8,3.8,3.1,1.8,12.5,0.4,5.0,1.3,-11.2,-4.5,14.0,3.1,-2.1,-45.1,-30.0,7.1,4.3,12.4,9.7,33.5,-12.0,-14.8,-9.9,78.8,42.2,25.9,-1.2,11.1,19.4,55.2,33.5,-8.1,-3.7,"2,230.8","2,252.5",52.5,22.4,-16.5,18.2,76.6,61.9,-185.9,19.4,11.2,-93.4,149.2,8.1,6.3,-49.6,114.0,74.6,8.7,-7.4,38.7,114.5,246.7,28.4,3.7,22.8,301.5,247.5,-17.2,-18.3,12.4,224.4,189.7,-126.8,-39.9,-50.7,-27.7,301.8,-83.9,-77.9,-39.0,101.0,50.9,-6.8,-145.5,-105.1,-206.6,420.5,-101.3,319.2,"3,484.9"
3256 Fabricación de jabones limpiadores y preparaciones de tocador,"1,388.0",188.6,163.1,417.4,"2,157.1",92.5,3.9,151.4,78.5,326.4,850.0,40.3,-17.3,-11.4,861.7,405.4,15.3,-14.9,-176.3,229.6,-78.9,22.2,183.9,56.4,183.6,"2,398.9",-6.2,-33.6,-0.9,"2,358.2",280.6,283.2,528.4,-46.5,"1,045.7",351.0,202.5,-52.3,352.5,853.7,165.9,137.0,52.0,78.0,433.0,136.2,-5.2,73.2,-270.2,-66.1,160.1,-13.6,139.6,-54.5,231.5,26.4,214.2,-9.2,-280.7,-49.3,158.1,-50.3,-265.0,39.3,-117.9,-67.6,167.4,-23.2,137.7,214.3,164.1,12.2,78.4,222.0,476.8,113.0,-96.1,28.6,74.4,119.8,165.3,64.6,-2.9,121.4,348.5,285.0,-148.4,-431.6,40.1,-254.9,60.0,-16.9,43.1,"9,395.0"
3259 Fabricación de otros productos químicos,18.8,-7.2,10.9,13.3,35.8,-3.9,26.6,39.6,4.2,66.5,3.7,13.9,-9.7,7.2,15.0,-44.9,-31.7,-8.4,-7.9,-92.9,159.0,11.5,17.7,116.2,304.5,43.1,178.4,41.9,-37.0,226.4,34.9,160.8,-1.3,16.0,210.3,32.7,81.6,37.6,105.0,257.0,-26.6,109.5,-5.3,20.7,98.3,14.1,24.8,-4.2,-85.2,-50.4,129.7,9.7,2.8,-4.7,137.4,16.1,9.1,206.7,-11.3,220.6,23.1,117.0,-26.1,-13.3,100.7,98.9,38.3,-3.2,-5.5,128.6,63.4,-2.5,-2.5,-16.3,42.1,83.4,-16.2,14.7,-10.5,71.3,117.7,39.0,-12.6,-16.0,128.1,11.9,1.5,52.0,-5.5,59.8,58.6,6.2,64.8,"2,023.8"
326 Industria del plástico y del hule,167.0,223.8,-19.9,157.6,528.5,130.7,169.5,251.3,220.4,771.9,158.7,118.4,171.9,144.7,593.7,93.7,107.0,171.7,127.6,500.0,584.5,77.8,-99.6,120.8,683.6,184.2,69.6,375.6,72.4,701.7,340.9,92.0,241.8,143.3,818.0,89.6,268.8,132.4,353.2,844.0,237.8,116.3,504.2,353.2,"1,211.4",147.9,24.3,173.8,312.8,658.9,308.1,271.9,299.7,117.3,996.9,361.9,189.9,205.4,166.5,923.8,386.6,200.7,110.1,452.5,"1,149.8",-93.8,355.7,95.9,182.4,540.2,477.8,209.2,-78.3,103.0,711.7,198.5,66.8,59.1,107.5,431.9,472.5,235.9,208.3,-196.9,719.8,508.3,106.8,-16.6,-119.5,478.9,492.6,113.7,606.3,"13,870.9"
3261 Fabricación de productos de plástico,125.6,227.9,-44.6,58.7,367.6,87.7,113.7,159.8,155.8,517.0,85.8,-10.6,142.7,61.0,278.9,79.7,73.5,55.6,165.0,373.8,479.3,93.7,-49.8,94.3,617.5,67.4,16.8,208.1,66.5,358.9,133.2,72.9,249.3,134.3,589.7,271.1,101.8,110.7,343.6,827.1,117.8,85.5,312.4,202.2,717.9,63.7,8.3,44.7,95.4,212.1,48.9,151.1,81.5,47.6,329.1,122.0,87.4,45.1,95.7,350.3,196.4,137.5,98.8,55.9,488.6,207.8,45.2,105.4,103.0,461.5,91.3,39.3,76.1,48.4,255.1,161.5,87.4,-34.3,41.5,256.2,274.5,104.7,73.5,-140.9,311.8,406.3,92.9,46.1,-16.4,528.9,268.2,346.0,614.2,"8,456.3"
3262 Fabricación de productos de hule,41.4,-4.0,24.7,98.9,160.9,42.9,55.9,91.5,64.6,255.0,72.8,129.0,29.3,83.7,314.8,13.9,33.5,116.0,-37.4,126.1,105.2,-15.8,-49.8,26.5,66.1,116.8,52.7,167.4,5.9,342.8,207.7,19.1,-7.5,9.0,228.3,-181.5,167.0,21.7,9.6,16.8,120.0,30.7,191.7,150.9,493.4,84.2,16.0,129.2,217.4,446.8,259.2,120.7,218.2,69.7,667.8,239.9,102.5,160.3,70.8,573.5,190.1,63.1,11.3,396.6,661.1,-301.7,310.5,-9.5,79.4,78.7,386.6,169.8,-154.4,54.6,456.5,36.9,-20.6,93.3,66.0,175.7,198.1,131.2,134.8,-56.0,408.1,102.0,13.9,-62.7,-103.2,-50.0,224.4,-232.3,-7.9,"5,414.5"
327 Fabricación de productos a base de minerales no metálicos,47.8,110.4,58.4,97.2,313.9,101.5,46.2,-18.0,46.9,176.6,11.4,9.7,141.3,26.8,189.1,24.5,18.4,-4.9,8.0,46.1,-1.0,6.1,-46.9,22.1,-19.6,30.9,-4.3,16.1,5.7,48.4,8.6,8.3,2.9,69.4,89.2,7.1,108.9,-106.0,272.6,282.5,25.7,201.4,-9.1,-211.6,6.5,23.9,38.8,"2,261.4",1.8,"2,325.9",53.0,65.8,-127.2,9.8,1.4,108.6,18.9,82.1,22.7,232.2,104.2,168.4,84.2,81.2,437.9,147.3,218.5,-3.2,-90.1,272.5,141.6,26.7,540.3,87.9,796.6,5.6,16.4,-50.7,160.8,132.0,155.0,-94.8,-56.4,34.0,37.8,121.4,-80.4,-51.3,28.6,18.3,174.5,-177.1,-2.5,"5,384.8"
3271 Fabricación de productos a base de arcillas y minerales refractarios,45.7,64.8,51.6,28.9,191.0,37.6,31.5,-3.8,31.6,96.9,3.0,9.1,11.9,5.9,29.9,10.9,-5.2,-11.6,6.1,0.2,-1.1,8.5,-41.2,12.1,-21.8,23.9,-1.0,7.9,4.8,35.6,-0.3,1.2,C,-2.6,-1.6,-2.1,C,-22.1,33.7,9.3,8.5,-2.1,-4.0,6.5,8.9,C,C,0.0,C,41.0,10.6,33.0,C,1.2,44.9,5.9,C,C,-0.1,5.8,2.8,6.4,21.0,12.9,43.2,21.8,6.1,-4.8,18.1,41.2,C,3.7,1.6,5.4,12.4,3.8,7.0,6.3,19.9,37.0,6.6,-3.8,-2.1,C,-6.5,8.0,C,C,C,2.7,13.0,C,13.0,583.2
3272 Fabricación de vidrio y productos de vidrio,-0.4,41.2,4.4,18.4,63.6,62.1,10.7,-14.6,16.6,74.8,7.5,-3.8,128.9,-1.5,131.2,11.9,22.4,3.7,0.6,38.6,0.8,2.3,-2.0,-11.7,-10.6,13.8,-4.6,5.6,6.6,21.4,8.3,7.2,-2.6,1.7,14.7,8.4,-0.3,4.3,10.0,22.4,12.2,24.7,-5.9,6.5,37.4,20.7,1.7,"2,260.7",1.5,"2,284.6",39.2,29.7,-130.8,5.1,-56.8,88.3,3.3,56.8,8.1,156.5,63.1,126.7,27.4,34.1,251.4,121.1,209.0,0.9,27.3,358.3,51.8,22.9,593.6,-17.9,650.3,-15.3,6.7,-5.4,-36.9,-50.9,40.4,-17.5,7.7,40.8,71.5,1.4,0.5,56.6,28.4,87.0,160.7,0.5,161.2,"4,306.7"
3273 Fabricación de cemento  concreto y sus productos,C,0.5,1.0,20.2,22.2,1.7,0.6,0.5,0.8,3.5,0.1,2.6,0.1,1.1,3.9,1.6,C,0.0,-0.7,1.8,-0.8,-6.2,2.9,20.6,16.6,C,0.4,C,-2.7,-8.4,C,C,C,C,69.5,C,C,-93.4,C,228.6,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,C,C,2.8,C,11.1,C,14.5,C,C,57.2,37.5,C,C,C,140.8,C,C,C,C,-131.4,C,C,C,C,C,C,2.6,C,C,145.1,107.8,C,C,C,-34.6,C,C,C,C,C,0.0,C,C,361.2
3274 Fabricación de cal  yeso y productos de yeso,C,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9
3279 Fabricación de otros productos a base de minerales no metálicos,0.5,4.0,1.4,0.7,6.6,0.1,3.3,-0.1,-2.1,1.3,0.8,1.8,0.3,19.7,22.5,C,C,3.1,2.1,5.5,0.1,1.4,-6.5,1.1,-3.8,-0.1,0.8,2.0,-3.0,-0.3,0.5,-0.1,5.4,0.9,6.7,1.8,1.2,5.2,2.3,10.4,5.1,1.5,0.9,0.4,7.9,0.2,0.5,0.7,-1.0,0.4,C,C,C,0.8,2.1,1.1,1.0,10.1,C,12.6,0.8,0.8,C,C,2.6,C,3.3,C,0.4,4.4,C,C,0.3,0.0,0.7,C,C,0.1,C,0.8,0.3,0.2,6.6,C,7.4,C,0.2,C,C,0.6,C,0.6,1.4,89.7
331 Industrias metálicas básicas,21.4,246.4,6.3,101.4,375.4,637.0,"1,569.0","1,595.8",104.0,"3,905.8",172.0,65.4,375.9,80.5,693.8,-34.8,117.5,29.0,40.8,152.4,103.4,28.3,83.8,46.8,262.2,89.3,73.7,57.9,284.3,505.2,120.8,152.6,88.9,370.0,732.4,114.7,252.1,-133.0,"1,297.1","1,531.0",170.9,343.1,-67.4,407.7,854.3,200.5,200.8,374.1,357.0,"1,132.5",88.4,-105.5,275.8,150.5,409.2,236.5,133.7,93.8,27.0,491.1,244.4,437.7,507.7,693.0,"1,882.9",226.9,-292.6,364.8,78.6,377.7,-230.5,191.9,232.4,348.1,541.8,"1,200.1",114.4,175.2,-738.2,751.6,828.5,"1,139.9",-40.2,650.7,"2,579.0","1,978.5",710.5,-411.2,5.1,"2,283.0","1,368.3",-600.2,768.1,"20,229.6"
3311 Industria básica del hierro y del acero,-1.9,231.2,-59.5,69.3,239.1,622.4,"1,547.1","1,570.3",99.4,"3,839.2",154.2,49.7,225.0,11.0,439.9,-57.9,56.3,7.0,12.0,17.4,35.4,-6.2,35.2,12.8,77.2,51.3,2.0,-3.8,257.8,307.2,54.2,115.4,34.4,340.6,544.6,34.8,217.7,-29.0,"1,225.9","1,449.5",49.7,107.7,-156.0,358.1,359.6,153.4,92.2,308.3,346.7,900.6,23.5,-135.4,258.2,113.6,259.9,188.6,123.4,16.5,-46.4,282.2,159.0,285.8,466.5,599.9,"1,511.2",132.6,-271.9,412.7,111.1,384.5,-312.9,201.7,193.8,382.5,465.0,"1,114.5",99.6,82.9,-808.3,488.8,738.7,"1,071.7",-140.5,494.0,"2,163.9","1,878.7",613.3,-348.9,11.8,"2,154.9","1,302.0",-666.8,635.1,"16,519.6"
3312 Fabricación de productos de hierro y acero,12.8,2.9,62.8,28.4,106.8,5.3,1.9,12.1,-0.9,18.5,14.9,8.9,147.0,63.4,234.2,21.3,57.1,14.0,26.6,119.0,64.7,27.6,35.7,27.3,155.3,15.6,64.8,49.9,16.5,146.8,55.9,34.6,40.7,11.6,142.9,60.0,20.9,-112.3,45.5,14.2,73.5,217.3,70.3,44.7,405.7,14.3,77.2,34.4,-8.9,117.0,26.6,24.8,16.8,37.3,105.4,25.4,14.3,79.5,78.1,197.3,75.5,141.7,38.1,94.8,350.1,74.4,-27.5,-47.9,-2.5,-3.5,70.1,-10.3,30.9,-21.6,69.1,81.1,0.7,69.2,61.4,212.4,59.5,15.9,78.5,133.6,287.5,73.7,81.2,-61.1,-14.8,79.0,64.0,57.3,121.4,"2,879.1"
3313 Industria básica del aluminio,C,C,-2.7,C,0.8,0.5,14.4,0.3,1.2,16.4,-2.3,0.5,0.7,1.6,0.4,0.5,0.2,7.1,1.7,9.5,2.0,0.6,7.8,2.5,13.0,10.3,0.1,12.3,6.5,29.3,17.1,0.2,11.0,10.2,38.6,14.5,8.4,1.6,9.8,34.2,39.4,8.5,9.9,0.2,58.0,25.5,30.1,20.1,18.6,94.3,25.2,2.1,0.2,-1.8,25.7,3.5,1.7,0.2,-1.4,3.9,0.2,0.2,0.1,0.1,0.7,5.7,1.4,0.1,2.3,9.5,11.9,C,8.7,0.3,21.3,0.7,1.4,-4.5,4.6,2.4,-1.7,5.2,2.0,1.3,6.7,0.9,5.9,-0.4,1.8,8.1,2.9,7.1,10.0,382.7
3314 Industrias de metales no ferrosos  excepto aluminio,4.0,4.2,1.3,0.4,10.0,1.1,C,C,C,13.0,C,5.6,3.6,4.1,18.5,0.9,4.0,C,C,5.4,0.3,5.8,5.0,3.6,14.6,11.3,6.3,-2.2,2.5,17.9,-7.6,1.4,1.8,6.5,2.0,4.2,C,3.0,15.0,26.6,7.2,7.9,7.2,C,24.8,C,0.0,C,-0.6,9.5,C,C,0.0,0.0,9.2,C,0.0,0.0,C,C,7.8,9.0,2.4,0.0,19.2,C,C,C,-33.8,-26.6,C,0.0,C,-15.8,-30.4,C,-10.8,C,1.3,-3.3,13.1,40.8,C,C,79.2,23.8,0.0,C,C,29.8,C,-2.8,-11.8,208.9
3315 Moldeo por fundición de piezas metálicas,6.2,7.4,4.4,0.7,18.7,7.8,1.1,9.3,0.6,18.8,0.1,0.7,-0.3,0.4,0.9,0.4,0.0,0.4,0.4,1.1,1.0,0.5,0.0,0.6,2.1,0.8,0.5,1.7,1.0,4.0,1.2,1.0,1.1,1.1,4.3,1.2,0.7,3.7,1.0,6.5,1.2,1.7,1.1,2.3,6.2,7.1,1.3,1.6,1.2,11.1,6.2,0.8,0.7,1.4,9.1,13.9,-5.7,-2.4,0.5,6.3,1.9,1.0,0.6,-1.9,1.7,2.8,8.6,1.0,1.5,13.9,3.0,0.2,10.8,2.8,16.8,1.7,23.5,23.4,2.9,51.4,18.9,6.4,17.3,-1.0,41.7,1.3,10.1,-3.6,3.3,11.2,8.5,5.0,13.5,239.3
332 Fabricación de productos metálicos,5.8,9.0,32.5,25.1,72.4,16.5,32.2,55.0,102.3,206.0,32.7,32.7,56.7,36.4,158.5,62.3,18.0,11.7,13.5,105.6,20.1,22.2,19.7,-80.8,-18.8,20.1,116.3,89.2,22.0,247.6,12.9,51.8,12.1,41.4,118.2,25.7,111.5,52.1,33.1,222.5,79.1,19.3,27.2,45.1,170.7,64.6,25.7,7.3,8.0,105.6,22.2,9.0,22.4,119.0,172.7,54.0,123.9,33.5,85.6,297.0,60.0,91.5,9.9,53.8,215.2,144.0,22.3,12.8,34.6,213.6,65.9,32.0,23.3,-6.2,115.0,71.8,19.9,-9.8,17.2,99.0,77.8,1.3,-3.7,-22.5,52.8,65.5,52.5,20.7,30.2,168.9,95.2,22.3,117.4,"2,839.9"
3321 Fabricación de productos metálicos forjados y troquelados,C,C,C,C,C,C,C,C,C,1.9,C,C,C,C,C,C,C,C,1.2,9.9,C,0.0,C,-1.5,-0.8,2.6,13.8,13.9,-0.5,29.8,C,C,0.0,C,6.9,2.1,C,0.4,3.9,12.7,3.3,2.0,C,C,9.0,17.1,0.1,2.7,C,20.0,4.0,C,0.0,2.4,6.7,C,C,4.8,0.2,7.8,5.6,2.4,C,15.5,27.7,24.7,4.3,-5.6,9.6,32.9,6.1,1.2,6.2,C,13.6,4.7,16.5,-29.3,-1.3,-9.5,-10.7,-8.3,-16.1,-40.7,-75.7,-1.6,25.4,8.2,0.1,32.1,3.8,4.5,8.2,134.4
3322 Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,0.0,0.0,C,C,0.1,0.0,0.0,0.0,22.3,22.3,0.0,0.0,C,0.1,0.1,C,1.9,C,0.0,2.0,C,0.1,C,0.1,0.3,C,3.8,C,1.5,6.9,4.2,23.5,0.0,C,28.1,0.0,49.6,5.3,5.7,60.6,6.0,C,1.6,C,10.2,4.5,C,-3.0,C,-6.5,C,C,1.8,93.5,55.4,14.4,-0.6,C,C,73.5,0.7,3.8,C,5.5,15.1,25.8,3.0,-2.5,C,24.3,C,6.7,5.3,-13.1,4.8,20.4,C,C,C,34.7,34.0,C,5.7,C,52.4,C,C,C,C,C,C,C,C,408.6
3323 Fabricación de estructuras metálicas y productos de herrería,1.6,2.6,-1.7,0.4,3.0,0.6,2.6,-1.0,8.4,10.6,4.9,-0.2,6.8,-4.6,6.9,1.3,-1.4,-0.7,2.7,1.9,0.2,0.1,1.1,-0.4,1.0,-3.2,2.8,-2.7,1.9,-1.2,0.9,-2.9,-0.1,0.6,-1.5,0.2,0.3,0.4,-2.2,-1.3,0.3,0.6,0.5,6.1,7.5,1.2,0.5,0.4,0.6,2.7,2.5,0.6,0.9,0.6,4.7,0.5,0.6,0.4,2.1,3.6,0.3,0.2,-1.8,1.0,-0.2,0.3,0.8,2.4,2.8,6.3,-0.6,4.2,3.0,-0.7,5.9,4.3,0.8,-1.8,1.5,4.9,-0.5,0.9,1.3,2.6,4.2,8.6,-1.2,3.3,0.9,11.5,-0.1,0.3,0.1,70.7
3324 Fabricación de calderas tanques y envases metálicos,-0.1,-3.2,15.4,-2.0,10.1,7.0,-0.5,-1.2,0.0,5.3,-14.1,11.6,-1.2,C,-3.7,C,C,C,C,0.9,C,6.2,4.5,0.4,19.8,1.1,1.5,0.6,1.3,4.4,1.9,2.0,C,1.1,6.9,1.5,6.4,C,C,17.2,11.9,C,C,C,17.3,C,C,C,4.2,6.5,C,C,C,C,7.4,-1.9,8.9,C,C,11.6,C,4.0,-5.8,C,12.1,C,C,C,C,35.1,C,C,C,C,C,C,C,C,0.0,C,C,C,C,C,C,C,C,C,C,C,2.4,C,2.7,156.0
3325 Fabricación de herrajes y cerraduras,0.9,1.0,1.6,1.6,5.1,2.8,5.0,8.5,4.1,20.4,2.2,3.2,13.3,3.6,22.3,0.5,-0.5,0.1,0.3,0.5,0.1,0.8,0.5,-50.6,-49.2,-3.5,1.8,48.4,1.7,48.4,5.6,4.9,3.3,12.8,26.5,10.3,-0.4,4.4,17.5,31.7,19.9,3.5,C,0.3,24.3,6.2,0.6,0.7,-8.4,-0.8,7.1,11.5,-9.8,1.6,10.5,13.2,6.0,5.5,10.4,35.1,7.3,4.6,4.8,8.1,24.8,5.9,0.1,C,6.3,12.5,23.9,5.3,-2.9,-9.3,17.0,12.2,-2.9,-0.3,10.7,19.7,12.1,-8.9,1.7,-1.9,3.1,10.3,14.9,12.9,10.6,48.7,9.0,0.7,9.7,310.3
3326 Fabricación de alambre productos de alambre y resortes,1.7,3.0,2.3,0.9,7.9,1.0,-10.1,4.5,4.3,-0.3,3.3,-2.7,2.3,3.0,6.0,6.4,1.3,0.4,2.7,10.6,0.2,0.2,0.6,1.4,2.4,0.9,0.9,0.8,0.3,3.0,0.4,0.4,0.4,0.5,1.7,0.6,0.6,0.5,0.5,2.2,2.6,0.2,11.1,0.6,14.4,4.6,0.3,0.7,0.4,6.0,4.8,0.4,5.8,5.5,16.5,0.2,4.5,4.3,1.1,10.1,0.5,6.7,0.7,0.8,8.7,3.9,1.9,0.6,-1.9,4.5,3.5,4.8,0.6,15.9,24.8,3.7,1.5,3.0,5.4,13.6,9.0,-1.3,2.7,1.3,11.7,2.7,0.9,0.9,1.1,5.6,3.4,0.3,3.7,153.3
3327 Maquinado de piezas y fabricación de tornillos,0.5,0.7,0.5,3.6,5.2,0.0,2.7,1.2,0.3,4.2,-0.2,0.3,1.1,0.7,1.9,2.7,-0.4,-3.8,0.3,-1.3,0.1,0.1,0.4,-0.4,0.2,-0.2,84.0,15.5,2.9,102.3,0.0,2.8,1.1,9.5,13.4,1.1,20.1,12.6,-1.6,32.3,7.3,3.9,2.1,0.5,13.8,5.1,14.9,1.8,2.4,24.1,8.3,9.0,19.8,14.6,51.7,15.8,7.2,7.6,6.2,36.7,16.7,12.4,2.0,6.0,37.1,16.6,3.1,4.3,8.6,32.7,14.7,2.1,9.1,24.4,50.4,1.0,1.8,6.2,3.1,12.1,11.7,4.0,2.5,10.1,28.2,14.6,1.0,6.4,-4.5,17.5,21.4,12.3,33.7,496.1
3328 Recubrimientos y terminados metálicos,C,C,C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,C,C,0.0,C,C,C,0.0,C,C,C,C,C,C,-0.1,0.3,0.1,0.1,C,C,C,0.1,C,C,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,C,C,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,C,C,5.1
3329 Fabricación de otros productos metálicos,1.1,4.6,14.1,20.4,40.3,4.9,32.2,41.7,62.9,141.7,36.4,20.4,34.3,33.5,124.6,51.6,16.9,5.4,6.3,80.2,10.9,14.7,11.8,-29.8,7.5,22.4,7.6,11.1,12.7,53.9,-0.4,20.9,5.5,10.1,36.1,9.4,26.5,20.9,7.7,64.5,27.9,5.8,8.0,32.3,74.1,25.1,19.9,2.6,6.0,53.5,1.9,14.4,0.2,3.3,19.7,9.3,97.1,2.9,9.5,118.7,18.2,57.2,1.8,13.7,91.0,29.8,8.8,15.8,12.8,67.2,11.1,9.9,-0.4,-22.2,-1.5,24.5,1.9,11.2,-16.5,21.1,25.3,0.2,-1.9,4.3,28.0,30.7,6.5,-16.7,15.7,36.3,52.1,-3.3,48.8,"1,105.4"
333 Fabricación de maquinaria y equipo,278.3,192.3,122.0,144.7,737.4,131.7,177.9,40.3,157.0,506.9,121.2,172.1,104.3,172.1,569.7,78.0,-34.5,26.9,550.8,621.2,33.1,158.1,229.9,444.8,865.9,-134.6,232.3,-1.5,42.8,139.0,153.8,50.8,133.8,207.7,546.2,-60.3,294.8,-259.5,-24.9,-49.9,536.5,780.9,78.3,-82.0,"1,313.6",183.3,90.2,"1,672.7",174.4,"2,120.6",479.7,406.7,-170.5,337.6,"1,053.5",473.7,2.1,286.9,275.1,"1,037.7",437.4,95.3,185.4,158.4,876.5,163.8,336.8,0.4,-300.3,200.7,472.0,155.5,37.1,132.4,797.0,"1,171.7",144.9,652.1,-269.7,"1,699.0",353.0,147.9,-63.1,-139.3,298.6,350.3,61.2,-448.2,85.8,49.2,-995.1,-40.4,"-1,035.5","12,347.3"
3331 Fabricación de maquinaria y equipo agropecuario para la construcción y para la industria extractiva,13.5,65.2,37.5,7.5,123.7,14.5,78.9,-3.5,-234.6,-144.8,34.0,82.2,32.6,15.6,164.4,-4.9,-77.9,5.9,-15.2,-92.2,23.5,67.5,-0.9,64.1,154.2,80.5,41.9,14.2,-18.4,118.2,70.9,23.0,14.2,-6.9,101.2,187.9,-35.4,-110.2,-1.5,40.9,127.7,7.6,-44.0,-125.9,-34.6,91.1,-33.3,-64.7,102.0,95.0,194.2,65.4,-19.4,31.4,271.7,183.7,-52.9,-123.1,182.9,190.6,215.2,41.2,-93.4,214.7,377.6,5.3,28.8,-25.8,-188.5,-180.3,-66.6,113.0,46.4,5.5,98.3,28.6,89.3,91.0,54.5,263.4,-145.7,112.5,-57.0,173.2,83.0,14.1,-49.2,-129.0,75.3,-88.8,40.4,60.6,101.0,"1,642.3"
3332 Fabricación de maquinaria y equipo para las industrias manufactureras excepto la metalmecánica,13.9,16.3,7.2,6.0,43.5,48.1,7.7,2.5,11.2,69.6,17.7,23.6,-0.5,-3.8,37.0,44.1,35.8,-27.6,-15.4,36.9,19.1,7.2,14.4,84.6,125.2,-248.3,-5.5,5.5,3.7,-244.6,28.9,-17.7,21.9,118.2,151.2,64.8,76.0,60.3,-18.1,183.0,11.2,-18.1,16.1,-18.8,-9.6,21.5,5.8,4.4,11.6,43.3,61.3,15.3,25.5,2.4,104.5,67.6,18.8,93.5,13.1,193.0,116.9,9.8,191.5,-129.9,188.3,60.9,16.8,-13.5,12.1,76.4,78.4,20.5,21.8,-10.1,110.6,17.1,15.5,22.2,9.8,64.6,-1.2,16.7,-44.7,-164.5,-193.8,74.5,6.3,9.7,16.5,107.1,56.8,20.2,77.0,"1,163.1"
3333 Fabricación de maquinaria y equipo para el comercio y los servicios,6.0,2.1,7.6,10.9,26.6,25.2,3.2,-1.6,47.7,74.5,1.3,-0.9,-2.0,4.4,2.9,3.9,0.2,4.0,-2.3,5.8,-29.3,5.2,-0.6,0.7,-24.1,-0.4,1.0,36.6,-0.4,36.7,13.3,18.2,32.6,6.5,70.6,30.7,14.8,75.6,-17.8,103.3,5.4,5.5,37.7,3.7,52.2,2.9,10.8,13.4,9.0,35.9,3.5,3.9,8.7,2.0,18.1,28.2,24.2,-8.4,12.8,56.8,1.3,57.8,4.0,5.8,69.0,8.6,0.3,5.6,2.9,17.4,10.4,1.4,3.8,6.5,22.0,-1.4,1.5,3.9,11.9,15.9,9.4,2.7,6.1,0.4,18.6,22.5,0.5,4.6,1.8,29.3,8.3,11.9,20.2,651.7
