Sector subsector y rama,1,2,3,4,2006,1.1,2.1,3.1,4.1,2007,1.2,2.2,3.2,4.2,Unnamed: 15,1.3,2.3,3.3,4.3,Unnamed: 20,1.4,2.4,3.4,4.4,Unnamed: 25,1.5,2.5,3.5,4.5,Unnamed: 30,1.6,2.6,3.6,4.6,Unnamed: 35,1.7,2.7,3.7,4.7,Unnamed: 40,1.8,2.8,3.8,4.8,Unnamed: 45,1.9,2.9,3.9,4.9,Unnamed: 50,1.10,2.10,3.10,4.10,Unnamed: 55,1.11,2.11,3.11,4.11,Unnamed: 60,1.12,2.12,3.12,4.12,Unnamed: 65,1.13,2.13,3.13,4.13,Unnamed: 70,1.14,2.14,3.14,4.14,Unnamed: 75,1.15,2.15,3.15,4.15,Total 2021,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
1123 Explotación avícola,0.0,C,C,C,5.3,C,C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,C,C,49.6,C,73.6,67.2,C,C,C,128.7,C,C,C,C,43.7,C,0.0,C,C,91.6,C,0.0,C,0.0,43.0,C,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C,C,C,C,0.0,-64.6,C,0.0,C,0.0,C,C,C,C,0.0,30.8,C,C,C,C,C,C,C,C,C,C,C,C,0.0,35.1,106.6,C,47.0,-9.2,C,126.3,C,0.0,C,"1,034.8"
1124 Explotación de ovinos y caprinos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1125 Acuicultura,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,C,C,C,C,C,C,C,0.0,C,0.0,C,0.0,0.0,C,-13.5,-12.7,0.0,C,C,C,C,C,C,C,4.7,21.1,0.0,0.0,C,0.0,C,0.0,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,30.2
1129 Explotación de otros animales,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0
113 Aprovechamiento forestal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
1132 Viveros forestales y recolección de productos forestales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
114 Pesca caza y captura,C,C,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,C,C,0.0,C,C,0.0,0.0,C,C,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
1141 Pesca,C,C,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,C,C,0.0,C,C,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
1142 Caza y captura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
115 Servicios relacionados con las actividades agropecuarias y forestales,0.1,0.4,-0.3,-1.7,-1.4,-9.3,0.4,-0.2,0.6,-8.5,0.8,3.7,2.4,2.0,8.8,-3.9,-3.2,-10.9,C,-21.0,-12.0,-3.0,-12.5,26.6,-0.9,-2.2,1.4,-15.6,7.2,-9.1,-4.4,24.1,3.7,5.6,29.0,3.3,36.9,0.6,3.7,44.4,0.4,41.0,0.5,C,42.0,60.3,10.0,22.4,-13.1,79.7,21.7,70.9,-24.2,22.2,90.6,-27.0,9.6,30.9,-1.5,12.0,-16.8,10.7,-25.5,-7.4,-39.0,-37.9,40.9,4.1,2.1,9.2,-9.3,-11.5,17.0,-41.2,-45.0,13.0,-21.0,45.0,-35.0,2.0,47.0,-1.5,22.3,C,57.4,39.2,0.0,5.3,26.2,70.8,125.7,C,120.8,441.6
1151 Servicios relacionados con la agricultura,0.1,0.4,-0.3,-1.7,-1.4,-9.3,0.4,-0.2,0.6,-8.6,0.8,3.7,2.4,1.7,8.6,0.3,0.0,0.5,C,0.9,0.2,1.4,0.5,5.4,7.4,0.4,1.4,2.1,6.5,10.4,5.0,11.7,3.6,5.6,25.9,3.8,0.5,0.7,3.8,8.9,0.4,-1.4,0.5,C,-0.5,9.4,C,2.5,1.8,13.8,10.6,C,C,0.0,12.9,12.5,1.9,C,-0.7,10.1,-4.9,-60.0,1.2,-2.9,-66.6,C,7.0,5.0,2.8,14.8,1.8,-1.0,8.8,-2.2,7.4,15.3,-1.6,2.8,31.1,47.7,12.1,C,1.8,0.0,19.8,-7.7,0.0,C,C,0.8,C,0.0,C,112.6
