,Sector subsector y rama,Total 2022,Total 2023
125,3332 Fabricación de maquinaria y equipo para las industrias manufactureras excepto la metalmecánica,-193.8,107.1
126,3333 Fabricación de maquinaria y equipo para el comercio y los servicios,18.6,29.3
127,3334 Fabricación de equipo de aire acondicionado  calefacción  y de refrigeración industrial y comercial,463.3,-138.5
128,3335 Fabricación de maquinaria y equipo para la industria metalmecánica,2.1,21.7
129,3336 Fabricación de motores de combustión interna turbinas y transmisiones,33.7,57.6
130,3339 Fabricación de otra maquinaria y equipo para la industria en general,-108.3,60.9
131,334 Fabricación de equipo de computación  comunicación  medición y de otros equipos componentes y accesorios electrónicos,"1,103.7","2,068.2"
132,3341 Fabricación de computadoras y equipo periférico,50.9,15.4
133,3342 Fabricación de equipo de comunicación,155.6,188.7
134,3343 Fabricación de equipo de audio y de video,138.9,424.7
135,3344 Fabricación de componentes electrónicos,836.8,841.5
136,3345 Fabricación de instrumentos de medición control navegación y equipo médico electrónico,-122.9,536.3
137,3346 Fabricación y reproducción de medios magnéticos y ópticos,44.4,61.7
138,335 Fabricación de accesorios  aparatos eléctricos y equipo de generación de energía eléctrica,636.0,842.5
139,3351 Fabricación de accesorios de iluminación,10.5,15.8
140,3352 Fabricación de aparatos eléctricos de uso doméstico,57.4,443.6
141,3353 Fabricación de equipo de generación y distribución de energía eléctrica,343.9,172.0
142,3359 Fabricación de otros equipos y accesorios eléctricos,224.3,211.1
143,336 Fabricación de equipo de transporte,"4,312.1","7,230.8"
144,3361 Fabricación de automóviles y camiones,"3,017.5","5,092.0"
145,3362 Fabricación de carrocerías y remolques,13.1,1.6
146,3363 Fabricación de partes para vehículos automotores,"1,015.2","1,914.4"
147,3364 Fabricación de equipo aeroespacial,221.0,227.5
148,3365 Fabricación de equipo ferroviario,33.9,-15.0
151,337 Fabricación de muebles colchones y persianas,-2.9,60.6
152,3371 Fabricación de muebles excepto de oficina y estantería,-3.2,59.8
155,339 Otras industrias manufactureras,101.6,335.5
156,3391 Fabricación de equipo no electrónico y material desechable de uso médico  dental y para laboratorio y artículos oftálmicos,86.8,130.3
157,3399 Otras industrias manufactureras,14.7,205.2
158,43 Comercio al por mayor,326.4,916.4
159,431 Comercio al por mayor de abarrotes alimentos  bebidas  hielo y tabaco,75.9,471.2
160,4311 Comercio al por mayor de abarrotes y alimentos,28.5,436.2
161,4312 Comercio al por mayor de bebidas hielo y tabaco,47.5,35.0
162,432 Comercio al por mayor de productos textiles y calzado,51.8,227.9
163,4321 Comercio al por mayor de productos textiles y calzado,51.8,227.9
164,433 Comercio al por mayor de productos farmacéuticos  de perfumería  artículos para el esparcimiento  electrodomésticos menores y aparatos de línea blanca,109.6,25.1
165,4331 Comercio al por mayor de productos farmacéuticos,61.3,41.8
166,4332 Comercio al por mayor de artículos de perfumería cosméticos y joyería,44.5,-32.5
167,4333 Comercio al por mayor de grabaciones de audio y video en medios físicos juguetes y artículos deportivos,-9.0,12.9
169,4335 Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,12.8,2.8
170,434 Comercio al por mayor de materias primas agropecuarias y forestales para la industria y materiales de desecho,151.1,58.5
171,4341 Comercio al por mayor de materias primas agropecuarias y forestales,18.0,-18.0
172,4342 Comercio al por mayor de materias primas para la industria,134.2,76.5
174,435 Comercio al por mayor de maquinaria equipo y mobiliario para actividades agropecuarias industriales de servicios y comerciales y de otra maquinaria y equipo de uso general,-108.9,150.2
175,4351 Comercio al por mayor de maquinaria y equipo agropecuario forestal y para la pesca,15.4,5.8
176,4352 Comercio al por mayor de maquinaria y equipo para la industria,-1.2,27.9
177,4353 Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,10.8,27.1
178,4354 Comercio al por mayor de mobiliario y equipo de cómputo y de oficina y de otra maquinaria y equipo de uso general,-133.9,89.4
179,436 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles camionetas y camiones,-32.7,-25.0
180,4361 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles camionetas y camiones,-32.7,-25.0
181,437 Intermediación de comercio al por mayor,79.5,8.5
182,4373 Intermediación de comercio al por mayor,79.5,8.5
183,46 Comercio al por menor,"1,036.5",439.1
184,461 Comercio al por menor de abarrotes alimentos bebidas hielo y tabaco,2.0,0.0
187,462 Comercio al por menor en tiendas de autoservicio y departamentales,530.0,239.4
188,4621 Comercio al por menor en tiendas de autoservicio,451.5,240.5
190,463 Comercio al por menor de productos textiles  bisutería  accesorios de vestir y calzado,5.3,35.6
192,4632 Comercio al por menor de ropa bisutería y accesorios de vestir,5.3,35.6
193,4633 Comercio al por menor de calzado,0.0,0.0
196,465 Comercio al por menor de artículos de papelería  para el esparcimiento y otros artículos de uso personal,28.5,29.4
197,4651 Comercio al por menor de artículos de perfumería y joyería,0.0,1.7
198,4652 Comercio al por menor de artículos para el esparcimiento,4.7,24.9
200,4659 Comercio al por menor de mascotas y sus accesorios  regalos  artículos religiosos  desechables  artesanías y otros artículos de uso personal,23.8,2.8
201,466 Comercio al por menor de enseres domésticos computadoras  artículos para la decoración de interiores y artículos usados,11.4,-13.9
202,4661 Comercio al por menor de muebles para el hogar y otros enseres domésticos,7.3,2.1
203,4662 Comercio al por menor de mobiliario  equipo y accesorios de cómputo teléfonos y otros aparatos de comunicación,4.0,-15.9
205,4664 Comercio al por menor de artículos usados,0.0,0.0
208,468 Comercio al por menor de vehículos de motor  refacciones combustibles y lubricantes,53.0,0.0
209,4681 Comercio al por menor de automóviles y camionetas,77.8,-12.8
210,4682 Comercio al por menor de partes y refacciones para automóviles  camionetas y camiones,16.1,-2.0
212,4684 Comercio al por menor de combustibles aceites y grasas lubricantes,-41.0,14.9
213,469 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos  televisión y similares,411.3,146.5
214,4691 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos televisión y similares,411.3,146.5
215,48-49 Transportes correos y almacenamiento,"3,684.8","2,283.5"
218,4812 Transporte aéreo no regular,0.0,0.0
221,483 Transporte por agua,-171.0,-14.5
222,4831 Transporte marítimo,-171.0,-14.5
223,484 Autotransporte de carga,0.0,0.0
224,4841 Autotransporte de carga general,0.0,0.0
226,485 Transporte terrestre de pasajero  excepto por ferrocarril,0.0,0.0
227,4851 Transporte colectivo urbano y suburbano de pasajeros de ruta fija,0.0,0.0
228,4853 Servicio de taxis y limusinas,0.0,0.0
229,4855 Alquiler de autobuses con chofer,0.0,0.0
230,4859 Otro transporte terrestre de pasajeros,0.0,0.0
231,486 Transporte por ductos,879.0,"1,924.8"
232,4861 Transporte de petróleo crudo por ductos,0.0,0.0
233,4862 Transporte de gas natural por ductos,879.0,"1,924.8"
235,487 Transporte turístico,0.0,0.0
239,488 Servicios relacionados con el transporte,164.2,328.1
240,4881 Servicios relacionados con el transporte aéreo,-5.7,101.9
241,4883 Servicios relacionados con el transporte por agua,147.8,201.7
242,4884 Servicios relacionados con el transporte por carretera,0.0,0.0
243,4885 Servicios de intermediación para el transporte de carga,22.0,24.5
244,4889 Otros servicios relacionados con el transporte,0.0,0.0
245,492 Servicios de mensajería y paquetería,65.4,45.0
246,4921 Servicios de mensajería y paquetería foránea,65.4,45.0
250,51 Información en medios masivos,"5,419.1",-250.2
251,512 Industria fílmica y del video e industria del sonido,12.9,-2.6
252,5121 Industria fílmica y del video,14.9,-2.6
254,513 Edición de periódicos revistas  libros directorios software y otros materiales,-27.2,399.0
255,5131 Edición de periódicos  revistas  libros  directorios y otros materiales,7.8,4.1
256,5132 Edición de software,-35.0,394.8
257,516 Radio y televisión y provisión de contenido,"5,318.4",192.3
258,5161 Estaciones de transmisión de programas de radio y televisión,0.0,0.0
259,5162 Servicios de distribución de audio y video en tiempo real (streaming)  redes sociales  cadenas de radio y televisión y otros proveedores de contenido,"5,318.4",192.3
260,517 Telecomunicaciones,74.3,-947.6
261,5173 Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,23.4,-926.0
262,5174 Operadores de servicios de telecomunicaciones vía satélite,48.5,21.9
263,5179 Otros servicios de telecomunicaciones,2.5,-43.5
264,518 Provisión de infraestructura de servicios de cómputo  procesamiento de datos  hospedaje de páginas de internet y otros servicios relacionados,19.7,-6.4
265,5182 Provisión de infraestructura de servicios de cómputo procesamiento de datos hospedaje de páginas de internet y otros servicios relacionados,19.7,-6.4
266,519 Bibliotecas archivos  portales de búsqueda en la red y otros servicios de suministro de información,21.0,115.1
267,5192 Bibliotecas archivos portales de búsqueda en la red y otros servicios de suministro de información,21.0,115.1
268,52 Servicios financieros y de seguros,"5,214.8","7,205.8"
269,522 Instituciones de intermediación crediticia y financiera no bursátil,"3,592.7","6,362.2"
270,5221 Banca múltiple,"3,407.2","6,029.3"
272,5223 Uniones de crédito e instituciones de ahorro,109.9,64.6
273,5224 Otras instituciones de intermediación crediticia y financiera no bursátil,77.3,209.3
274,5225 Servicios relacionados con la intermediación crediticia no bursátil,7.6,65.7
275,523 Actividades bursátiles cambiarias y de inversión financiera,209.1,347.6
276,5231 Casas de bolsa casas de cambio y centros cambiarios,-4.0,283.5
277,5232 Bolsa de valores,0.0,0.0
278,5239 Asesoría en inversiones y otros servicios relacionados con la intermediación bursátil,213.1,64.0
279,524 Compañías de seguros  fianzas  y administración de fondos para el retiro,256.7,244.0
280,5241 Compañías de seguros y fianzas,255.5,243.3
281,5242 Servicios relacionados con los seguros y las fianzas y administración de fondos para el retiro,1.1,0.7
282,525 Sociedades de inversión especializadas en fondos para el retiro y fondos de inversión,"1,156.3",252.0
283,5252 Fondos de inversión,"1,156.3",252.0
284,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,451.8,360.1
285,531 Servicios inmobiliarios,164.0,193.9
286,5311 Alquiler sin intermediación de bienes raíces,29.7,1.1
287,5312 Inmobiliarias y corredores de bienes raíces,69.8,83.1
