Sector subsector y rama,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
4341 Comercio al por mayor de materias primas agropecuarias y forestales,0.2,C,10.1,4.8,18.0,-1.2,-13.3,-1.8,-1.8,-18.0,16.1,0.0,16.1,171.5
4342 Comercio al por mayor de materias primas para la industria,116.8,17.3,137.7,-137.6,134.2,80.3,-40.6,0.5,36.3,76.5,107.9,76.4,184.3,"2,932.5"
4343 Comercio al por mayor de materiales de desecho,0.0,0.0,-1.1,0.0,-1.1,0.0,C,0.0,0.0,C,0.0,C,C,68.2
435 Comercio al por mayor de maquinaria equipo y mobiliario para actividades agropecuarias industriales de servicios y comerciales y de otra maquinaria y equipo de uso general,-305.2,142.3,-78.0,132.1,-108.9,-30.5,-91.7,-92.5,364.9,150.2,-178.4,-130.7,-309.0,"2,168.3"
4351 Comercio al por mayor de maquinaria y equipo agropecuario forestal y para la pesca,C,C,C,C,15.4,C,C,C,C,5.8,-1.7,C,-1.7,78.9
4352 Comercio al por mayor de maquinaria y equipo para la industria,4.9,1.0,5.0,-12.1,-1.2,12.3,11.5,7.9,-3.8,27.9,34.5,-2.9,31.6,673.0
4353 Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,18.1,15.7,8.0,-31.0,10.8,26.3,-5.1,-1.8,7.6,27.1,40.2,5.0,45.2,739.0
4354 Comercio al por mayor de mobiliario y equipo de cómputo y de oficina y de otra maquinaria y equipo de uso general,-332.8,121.5,-97.6,175.0,-133.9,-71.0,-98.6,-102.2,361.1,89.4,-251.4,-132.8,-384.2,677.4
436 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles camionetas y camiones,62.5,2.7,-101.6,3.7,-32.7,74.9,-96.1,C,-3.9,-25.0,951.0,19.0,970.0,"1,720.4"
4361 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles camionetas y camiones,62.5,2.7,-101.6,3.7,-32.7,74.9,-96.1,C,-3.9,-25.0,951.0,19.0,970.0,"1,720.4"
437 Intermediación de comercio al por mayor,47.5,58.9,17.1,-44.0,79.5,10.0,-2.7,5.0,-3.8,8.5,15.7,23.5,39.2,301.2
4373 Intermediación de comercio al por mayor,47.5,58.9,17.1,-44.0,79.5,10.0,-2.7,5.0,-3.8,8.5,15.7,23.5,39.2,301.2
46 Comercio al por menor,559.9,292.0,112.7,71.8,"1,036.5",463.6,-109.2,89.2,-4.4,439.1,590.3,508.9,"1,099.2","20,908.8"
461 Comercio al por menor de abarrotes alimentos bebidas hielo y tabaco,C,C,C,C,2.0,C,C,0.0,0.0,0.0,C,0.0,C,254.1
4611 Comercio al por menor de abarrotes y alimentos,C,C,C,C,2.0,C,C,0.0,0.0,C,C,0.0,C,251.7
4612 Comercio al por menor de bebidas hielo y tabaco,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,2.4
462 Comercio al por menor en tiendas de autoservicio y departamentales,445.8,16.3,24.6,43.3,530.0,C,-2.0,0.0,C,239.4,349.2,47.9,397.1,"16,660.5"
4621 Comercio al por menor en tiendas de autoservicio,445.8,C,C,C,451.5,C,C,0.0,C,240.5,341.4,C,374.5,"14,758.3"
4622 Comercio al por menor en tiendas departamentales,0.0,C,C,C,C,0.0,C,0.0,0.0,C,C,C,C,"1,902.3"
463 Comercio al por menor de productos textiles  bisutería  accesorios de vestir y calzado,-1.1,1.6,3.2,C,5.3,C,C,24.5,0.0,35.6,-24.9,C,-25.2,212.9
4631 Comercio al por menor de productos textiles excepto ropa,C,0.0,0.0,C,C,0.0,C,C,0.0,C,0.0,0.0,0.0,5.5
4632 Comercio al por menor de ropa bisutería y accesorios de vestir,C,1.6,3.2,C,5.3,C,C,C,0.0,35.6,-24.9,C,-25.2,207.4
4633 Comercio al por menor de calzado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464 Comercio al por menor de artículos para el cuidado de la salud,C,C,0.0,0.0,-2.0,0.0,0.0,0.0,C,C,C,C,7.7,16.1
4641 Comercio al por menor de artículos para el cuidado de la salud,C,C,0.0,0.0,-2.0,0.0,0.0,0.0,C,C,C,C,7.7,16.1
465 Comercio al por menor de artículos de papelería  para el esparcimiento y otros artículos de uso personal,17.6,4.2,27.9,-21.1,28.5,9.3,-6.6,29.6,-2.9,29.4,-38.5,5.2,-33.3,-600.6
4651 Comercio al por menor de artículos de perfumería y joyería,C,C,0.0,C,0.0,0.0,0.1,C,0.0,1.7,0.0,C,0.0,-286.1
4652 Comercio al por menor de artículos para el esparcimiento,-11.6,C,C,C,4.7,C,C,C,C,24.9,C,C,-51.9,-15.4
4653 Comercio al por menor de artículos de papelería  libros revistas y periódicos,C,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,-672.9
4659 Comercio al por menor de mascotas y sus accesorios  regalos  artículos religiosos  desechables  artesanías y otros artículos de uso personal,29.1,C,C,-2.8,23.8,15.2,C,1.9,C,2.8,0.2,18.4,18.6,373.8
466 Comercio al por menor de enseres domésticos computadoras  artículos para la decoración de interiores y artículos usados,1.2,6.3,0.0,3.8,11.4,C,-0.5,-1.5,C,-13.9,5.7,C,5.7,583.1
4661 Comercio al por menor de muebles para el hogar y otros enseres domésticos,1.0,C,C,C,7.3,0.0,C,C,C,2.1,C,C,C,499.1
4662 Comercio al por menor de mobiliario  equipo y accesorios de cómputo teléfonos y otros aparatos de comunicación,0.2,0.0,C,C,4.0,C,C,C,C,-15.9,3.1,0.0,3.1,42.2
4663 Comercio al por menor de artículos para la decoración de interiores,0.0,C,C,C,0.0,0.0,C,0.0,0.0,C,C,0.0,C,41.8
4664 Comercio al por menor de artículos usados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467 Comercio al por menor de artículos de ferretería tlapalería y vidrios,-3.0,0.0,C,0.0,-3.0,0.0,0.0,C,0.0,C,C,C,0.2,93.9
4671 Comercio al por menor de artículos de ferretería tlapalería y vidrios,-3.0,0.0,C,0.0,-3.0,0.0,0.0,C,0.0,C,C,C,0.2,93.9
468 Comercio al por menor de vehículos de motor  refacciones combustibles y lubricantes,14.8,10.5,2.0,25.8,53.0,32.6,8.1,-34.1,C,0.0,59.6,66.1,125.7,652.1
4681 Comercio al por menor de automóviles y camionetas,0.0,41.4,C,C,77.8,C,10.1,C,0.0,-12.8,C,C,C,179.9
4682 Comercio al por menor de partes y refacciones para automóviles  camionetas y camiones,9.3,C,4.2,C,16.1,C,-2.0,C,0.0,-2.0,2.8,0.0,2.8,97.8
4683 Comercio al por menor de motocicletas y otros vehículos de motor,0.0,0.0,C,C,C,C,0.0,0.0,0.0,C,C,0.0,C,-2.5
4684 Comercio al por menor de combustibles aceites y grasas lubricantes,C,-33.6,-20.5,C,-41.0,C,0.0,-18.5,C,14.9,71.4,36.3,107.7,376.8
469 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos  televisión y similares,86.7,251.2,55.0,C,411.3,189.4,C,70.6,4.2,146.5,222.5,382.3,604.7,"3,036.7"
4691 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos televisión y similares,86.7,251.2,55.0,C,411.3,189.4,C,70.6,4.2,146.5,222.5,382.3,604.7,"3,036.7"
48-49 Transportes correos y almacenamiento,"3,100.5",535.8,-388.7,437.1,"3,684.8",503.7,608.5,623.7,547.5,"2,283.5","2,466.0",31.0,"2,497.1","30,199.6"
481 Transporte aéreo,"2,130.2",C,0.0,0.0,"2,131.3",0.0,0.0,C,0.0,C,C,0.0,C,"3,901.3"
4811 Transporte aéreo regular,"2,130.2",C,0.0,0.0,"2,131.3",0.0,0.0,C,0.0,C,C,0.0,C,"3,685.6"
4812 Transporte aéreo no regular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.8
482 Transporte por ferrocarril,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,546.7"
4821 Transporte por ferrocarril,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,546.7"
483 Transporte por agua,C,19.3,6.2,C,-171.0,18.6,2.0,-35.1,0.0,-14.5,C,C,15.3,748.6
4831 Transporte marítimo,C,19.3,6.2,C,-171.0,18.6,2.0,-35.1,0.0,-14.5,C,C,15.3,748.6
484 Autotransporte de carga,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,68.2
4841 Autotransporte de carga general,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,10.8
4842 Autotransporte de carga especializado,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3
485 Transporte terrestre de pasajero  excepto por ferrocarril,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,103.7
4851 Transporte colectivo urbano y suburbano de pasajeros de ruta fija,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
4853 Servicio de taxis y limusinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
4855 Alquiler de autobuses con chofer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
4859 Otro transporte terrestre de pasajeros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,4.6
486 Transporte por ductos,600.5,329.6,-499.4,448.2,879.0,110.0,549.5,762.3,503.1,"1,924.8","1,969.4",-24.2,"1,945.2","18,133.8"
4861 Transporte de petróleo crudo por ductos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
4862 Transporte de gas natural por ductos,600.5,329.6,-499.4,448.2,879.0,110.0,549.5,762.3,503.1,"1,924.8","1,966.3",-24.2,"1,942.1","18,126.6"
4869 Transporte por ductos de otros productos,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,C,C,0.0,C,7.2
487 Transporte turístico,0.0,C,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,13.7
4871 Transporte turístico por tierra,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.2
4872 Transporte turístico por agua,0.0,0.0,C,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,13.5
4879 Otro transporte turístico,0.0,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488 Servicios relacionados con el transporte,138.2,5.2,-32.9,53.6,164.2,356.9,56.2,-104.5,19.6,328.1,271.3,48.2,319.5,"3,582.9"
4881 Servicios relacionados con el transporte aéreo,25.3,-24.6,C,-1.1,-5.7,C,0.0,C,C,101.9,C,C,C,"1,243.1"
4883 Servicios relacionados con el transporte por agua,97.6,29.3,-27.8,48.7,147.8,255.1,56.2,-109.6,C,201.7,190.2,45.5,235.7,"2,088.9"
4884 Servicios relacionados con el transporte por carretera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
4885 Servicios de intermediación para el transporte de carga,C,0.5,C,6.0,22.0,11.8,C,C,12.7,24.5,28.2,C,30.8,214.6
4889 Otros servicios relacionados con el transporte,C,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,1.1,C,1.1,36.2
492 Servicios de mensajería y paquetería,29.7,-26.1,34.0,27.8,65.4,18.2,C,C,24.8,45.0,128.8,C,132.8,"1,063.8"
4921 Servicios de mensajería y paquetería foránea,29.7,-26.1,34.0,27.8,65.4,18.2,C,C,24.8,45.0,128.8,C,132.8,"1,063.6"
4922 Servicios de mensajería y paquetería local,C,0.0,C,0.0,C,0.0,C,0.0,C,C,0.0,0.0,0.0,0.2
493 Servicios de almacenamiento,0.0,0.0,1.5,0.0,1.5,0.0,C,C,0.0,C,C,0.0,C,36.9
4931 Servicios de almacenamiento,0.0,0.0,1.5,0.0,1.5,0.0,C,C,0.0,C,C,0.0,C,36.9
51 Información en medios masivos,"4,726.6",169.1,456.1,67.3,"5,419.1",-172.6,345.7,-836.5,413.2,-250.2,316.9,107.2,424.1,"21,277.3"
512 Industria fílmica y del video e industria del sonido,-5.3,-1.9,27.4,-7.4,12.9,-5.9,-4.2,C,2.7,-2.6,6.9,C,6.3,231.1
5121 Industria fílmica y del video,C,C,27.4,-7.4,14.9,-5.9,-4.2,C,2.7,-2.6,1.4,C,0.8,226.1
5122 Industria del sonido,C,C,0.0,0.0,C,0.0,0.0,0.0,C,C,C,0.0,C,4.9
513 Edición de periódicos revistas  libros directorios software y otros materiales,-31.7,7.4,-55.0,52.2,-27.2,-53.8,194.6,34.7,223.4,399.0,114.7,165.8,280.5,"2,374.8"
5131 Edición de periódicos  revistas  libros  directorios y otros materiales,5.0,1.4,0.0,1.4,7.8,C,0.0,C,0.0,4.1,C,C,1.1,175.2
5132 Edición de software,-36.8,6.0,-55.0,50.8,-35.0,-53.8,194.6,30.6,223.4,394.8,115.6,163.7,279.3,"2,199.6"
516 Radio y televisión y provisión de contenido,C,C,436.1,28.0,"5,318.4",198.3,0.1,4.6,-10.7,192.3,C,-88.0,-79.0,"6,299.3"
5161 Estaciones de transmisión de programas de radio y televisión,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
5162 Servicios de distribución de audio y video en tiempo real (streaming)  redes sociales  cadenas de radio y televisión y otros proveedores de contenido,C,C,436.1,28.0,"5,318.4",198.3,0.1,4.6,-10.7,192.3,C,-88.0,-79.0,"6,293.1"
517 Telecomunicaciones,30.8,72.8,68.3,-97.6,74.3,-250.1,49.7,-842.4,95.2,-947.6,257.9,-0.8,257.1,"11,657.2"
5173 Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,-4.1,97.7,12.6,-82.8,23.4,-183.7,66.5,-857.0,48.2,-926.0,279.8,8.8,288.6,"11,013.4"
5174 Operadores de servicios de telecomunicaciones vía satélite,40.1,3.4,31.8,-26.8,48.5,13.7,0.0,C,C,21.9,C,-9.6,-31.5,609.9
5179 Otros servicios de telecomunicaciones,-5.1,C,C,12.0,2.5,-80.1,C,C,44.1,-43.5,C,C,C,33.9
518 Provisión de infraestructura de servicios de cómputo  procesamiento de datos  hospedaje de páginas de internet y otros servicios relacionados,C,C,6.4,4.0,19.7,C,C,-7.9,C,-6.4,C,C,C,218.7
5182 Provisión de infraestructura de servicios de cómputo procesamiento de datos hospedaje de páginas de internet y otros servicios relacionados,C,C,6.4,4.0,19.7,C,C,-7.9,C,-6.4,C,C,C,218.7
519 Bibliotecas archivos  portales de búsqueda en la red y otros servicios de suministro de información,-67.2,27.2,-27.1,88.1,21.0,-48.2,101.1,-30.5,C,115.1,-57.3,35.8,-21.6,496.2
5192 Bibliotecas archivos portales de búsqueda en la red y otros servicios de suministro de información,-67.2,27.2,-27.1,88.1,21.0,-48.2,101.1,-30.5,C,115.1,-57.3,35.8,-21.6,496.2
52 Servicios financieros y de seguros,"3,892.7",549.8,213.6,558.8,"5,214.8","6,902.8",453.9,392.5,-543.6,"7,205.8","5,784.2",-987.1,"4,797.1","78,195.6"
522 Instituciones de intermediación crediticia y financiera no bursátil,"3,397.8",136.1,-27.0,85.8,"3,592.7","6,496.5",-331.9,723.0,-525.3,"6,362.2","5,185.8","-1,375.1","3,810.7","63,561.6"
5221 Banca múltiple,"3,303.8",39.4,-34.5,98.5,"3,407.2","6,405.8",-357.8,680.2,-699.0,"6,029.3","4,985.3","-1,403.9","3,581.4","60,020.0"
5222 Instituciones financieras de fomento económico,C,C,-4.1,0.0,-9.2,C,C,C,0.0,C,0.0,C,C,33.0
5223 Uniones de crédito e instituciones de ahorro,17.3,36.2,24.7,31.6,109.9,51.2,-6.7,15.4,4.8,64.6,30.7,C,37.8,857.0
5224 Otras instituciones de intermediación crediticia y financiera no bursátil,33.7,38.1,-19.3,24.9,77.3,15.8,49.8,4.3,139.4,209.3,152.2,21.6,173.8,"1,763.9"
5225 Servicios relacionados con la intermediación crediticia no bursátil,45.3,25.2,6.3,-69.2,7.6,28.0,-12.7,20.8,C,65.7,17.6,-2.6,15.1,887.8
523 Actividades bursátiles cambiarias y de inversión financiera,25.9,-69.4,2.6,250.1,209.1,283.1,57.0,-19.8,27.3,347.6,126.8,51.6,178.4,"3,012.5"
5231 Casas de bolsa casas de cambio y centros cambiarios,C,0.6,0.0,0.0,-4.0,C,C,C,C,283.5,C,C,6.7,800.9
5232 Bolsa de valores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
5239 Asesoría en inversiones y otros servicios relacionados con la intermediación bursátil,30.4,-70.0,2.6,250.1,213.1,12.3,50.4,-12.6,13.9,64.0,120.8,50.9,171.7,"2,212.0"
524 Compañías de seguros  fianzas  y administración de fondos para el retiro,89.9,152.8,15.3,-1.3,256.7,107.4,662.3,-308.8,-217.0,244.0,205.2,270.9,476.1,"5,089.3"
5241 Compañías de seguros y fianzas,88.5,155.1,10.3,1.6,255.5,105.5,662.3,-313.4,-211.1,243.3,200.9,268.0,468.9,"5,031.9"
5242 Servicios relacionados con los seguros y las fianzas y administración de fondos para el retiro,1.4,-2.3,4.9,-2.9,1.1,1.9,0.0,C,-5.8,0.7,4.3,C,7.2,57.4
525 Sociedades de inversión especializadas en fondos para el retiro y fondos de inversión,379.1,330.3,222.7,224.3,"1,156.3",15.9,66.5,-1.8,171.4,252.0,266.4,65.6,332.0,"6,532.0"
5252 Fondos de inversión,379.1,330.3,222.7,224.3,"1,156.3",15.9,66.5,-1.8,171.4,252.0,266.4,65.6,332.0,"6,532.0"
53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,184.6,-12.1,53.7,225.6,451.8,35.2,67.3,128.2,129.5,360.1,167.0,105.1,272.1,"11,906.3"
531 Servicios inmobiliarios,74.1,23.4,6.6,59.9,164.0,42.8,12.3,20.5,118.3,193.9,116.1,56.3,172.4,"9,561.4"
5311 Alquiler sin intermediación de bienes raíces,0.0,0.0,26.3,3.4,29.7,0.0,0.0,1.0,C,1.1,1.7,C,5.9,70.9
5312 Inmobiliarias y corredores de bienes raíces,38.0,10.9,-20.4,41.3,69.8,49.0,7.1,19.4,7.6,83.1,89.0,40.9,129.9,"8,478.1"
5313 Servicios relacionados con los servicios inmobiliarios,36.0,12.5,0.7,15.2,64.5,-6.2,5.1,0.0,110.8,109.7,25.4,11.1,36.5,"1,012.4"
532 Servicios de alquiler de bienes muebles,109.4,-36.4,46.3,165.5,284.7,-8.9,53.1,105.6,8.5,158.3,34.4,47.6,82.0,"2,126.6"
5321 Alquiler de automóviles camiones y otros transportes terrestres,92.2,C,C,148.1,242.9,C,C,C,C,161.0,C,47.4,66.2,"1,515.2"
5322 Alquiler de artículos para el hogar y personales,0.0,0.0,C,0.0,C,C,0.0,C,C,1.8,0.0,C,C,17.6
5323 Centros generales de alquiler,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
5324 Alquiler de maquinaria y equipo agropecuario pesquero industrial  comercial y de servicios,17.2,7.2,C,17.4,41.8,-8.9,C,-0.2,2.0,-4.5,15.6,C,15.8,592.8
533 Servicios de alquiler de marcas registradas patentes y franquicias,1.1,1.0,0.9,0.2,3.1,1.3,1.9,2.1,2.6,7.9,16.5,1.2,17.7,218.2
5331 Servicios de alquiler de marcas registradas patentes y franquicias,1.1,1.0,0.9,0.2,3.1,1.3,1.9,2.1,2.6,7.9,16.5,1.2,17.7,218.2
54 Servicios profesionales científicos y técnicos,28.6,19.6,3.8,-16.0,36.0,283.0,42.6,129.5,73.3,528.4,117.4,254.5,371.9,"4,628.6"
541 Servicios profesionales científicos y técnicos,28.6,19.6,3.8,-16.0,36.0,283.0,42.6,129.5,73.3,528.4,117.4,254.5,371.9,"4,628.6"
5411 Servicios legales,0.0,0.0,C,0.0,C,C,C,C,C,4.8,C,C,5.2,31.9
5412 Servicios de contabilidad auditoría y servicios relacionados,21.3,15.6,-0.2,1.4,38.1,65.1,C,7.3,-2.8,65.7,0.0,64.7,64.7,446.4
5413 Servicios de arquitectura ingeniería y actividades relacionadas,-22.1,3.7,-5.8,-38.7,-62.8,35.8,8.5,0.0,-1.1,43.1,4.1,-1.0,3.1,802.7
5414 Diseño especializado,C,C,0.0,-3.5,-0.9,C,0.0,C,0.0,0.0,0.0,3.5,3.5,-84.0
5415 Servicios de diseño de sistemas de cómputo y servicios relacionados,51.0,-15.7,-51.0,13.3,-2.4,147.1,58.0,173.7,-8.1,370.7,-20.3,77.1,56.8,"1,813.9"
5416 Servicios de consultoría administrativa científica y técnica,2.4,-7.2,10.6,-55.2,-49.4,-19.3,13.4,28.3,48.9,71.2,26.8,82.2,109.0,522.7
5417 Servicios de investigación científica y desarrollo,C,C,0.0,12.3,-16.3,45.0,C,C,C,-92.7,52.5,0.0,52.5,250.3
5418 Servicios de publicidad y actividades relacionadas,0.0,1.6,3.9,41.8,47.3,0.1,1.2,0.0,0.0,1.3,1.8,-0.6,1.2,334.1
5419 Otros servicios profesionales científicos y técnicos,16.4,7.2,46.3,12.5,82.5,4.4,18.4,3.0,38.4,64.2,51.8,24.0,75.7,510.6
55 Dirección y administración de grupos empresariales o corporativos,C,C,20.7,C,20.5,-23.0,C,C,C,-13.7,C,C,C,87.2
551 Dirección y administración de grupos empresariales o corporativos,C,C,20.7,C,20.5,-23.0,C,C,C,-13.7,C,C,C,87.2
5511 Dirección y administración de grupos empresariales o corporativos,C,C,20.7,C,20.5,-23.0,C,C,C,-13.7,C,C,C,87.2
56 Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación,125.1,13.1,67.8,17.7,223.6,51.8,-6.5,-33.0,-14.3,-1.9,120.2,-47.5,72.7,"2,603.6"
561 Servicios de apoyo a los negocios,125.1,13.0,67.8,17.7,223.6,51.8,-6.5,-33.0,-14.3,-1.9,120.2,-47.5,72.7,"2,571.9"
5611 Servicios de administración de negocios,41.5,41.0,0.0,-4.1,78.3,C,C,2.8,C,19.3,11.8,C,11.8,"1,079.5"
5612 Servicios integrales de apoyo a los negocios en instalaciones,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,3.6
5613 Servicios de empleo,8.6,C,1.8,1.1,11.4,-15.6,-10.7,-0.4,5.9,-20.8,6.9,C,12.8,197.7
5614 Servicios de apoyo secretarial fotocopiado cobranza investigación crediticia y similares,-0.1,0.1,C,0.9,-1.3,C,C,3.6,0.0,9.3,1.2,C,0.5,136.7
5615 Agencias de viajes y servicios de reservaciones,16.9,-6.9,C,C,10.0,C,C,C,C,3.4,C,2.5,8.8,229.5
5616 Servicios de investigación protección y seguridad,C,C,0.0,0.0,C,C,0.0,C,C,C,C,C,C,-439.4
5617 Servicios de limpieza,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,19.9
5619 Otros servicios de apoyo a los negocios,56.3,-20.9,68.0,19.8,123.2,66.0,-2.4,0.0,2.9,66.6,101.2,-17.3,83.9,"1,344.4"
562 Manejo de residuos y servicios de remediación,0.0,C,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,0.0,31.7
5621 Recolección de residuos,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7
5629 Servicios de remediación recuperación  y otros servicios de manejo de residuos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C
61 Servicios educativos,7.2,3.1,19.1,0.0,29.5,19.8,C,C,C,16.0,C,0.0,C,512.8
611 Servicios educativos,7.2,3.1,19.1,0.0,29.5,19.8,C,C,C,16.0,C,0.0,C,512.8
6111 Escuelas de educación básica  media y para necesidades especiales,C,C,C,0.0,22.9,C,0.0,0.0,0.0,C,C,0.0,C,374.2
6112 Escuelas de educación técnica superior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4
6113 Escuelas de educación superior,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3
6114 Escuelas comerciales  de computación y de capacitación para ejecutivos,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,0.0,0.0,0.0,4.8
6115 Escuelas de oficios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
6116 Otros servicios educativos,C,C,C,0.0,C,14.4,C,C,0.0,10.5,0.0,0.0,0.0,35.2
6117 Servicios de apoyo a la educación,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,2.0
62 Servicios de salud y de asistencia social,5.1,0.0,-18.2,0.0,-13.1,0.0,0.5,C,C,0.6,C,C,7.9,237.1
621 Servicios médicos de consulta externa y servicios relacionados,5.1,0.0,C,0.0,5.1,0.0,0.5,C,C,0.6,C,C,7.9,216.6
6211 Consultorios médicos,0.0,C,0.0,C,0.0,0.0,C,C,0.0,0.5,C,C,C,86.5
6212 Consultorios dentales,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,29.3
6213 Otros consultorios para el cuidado de la salud,C,0.0,C,C,5.1,0.0,C,0.0,C,C,C,C,C,6.9
6214 Centros para la atención de pacientes que no requieren hospitalización,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6
6215 Laboratorios médicos y de diagnóstico,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1
6216 Servicios de enfermería a domicilio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6219 Servicios de ambulancias  de bancos de órganos y otros servicios auxiliares al tratamiento médico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.1
622 Hospitales,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1
6221 Hospitales generales,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6
6223 Hospitales de otras especialidades médicas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6
623 Residencias de asistencia social y para el cuidado de la salud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
6231 Residencias con cuidados de enfermeras para enfermos convalecientes  en rehabilitación incurables y terminales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
6232 Residencias para el cuidado de personas con problemas de retardo mental trastorno mental y adicciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
6233 Asilos y otras residencias para el cuidado de ancianos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
624 Otros servicios de asistencia social,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
6241 Servicios de orientación y trabajo social,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6242 Servicios comunitarios de alimentación refugio y emergencia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
