Concepto,1993 |  T1,1993 |  T2,1993 |  T3,1993 |  T4,1993 |  6 Meses,1993 |  9 Meses,1993 |  Anual,1994 |  T1,1994 |  T2,1994 |  T3,1994 |  T4,1994 |  6 Meses,1994 |  9 Meses,1994 |  Anual,1995 |  T1,1995 |  T2,1995 |  T3,1995 |  T4,1995 |  6 Meses,1995 |  9 Meses,1995 |  Anual,1996 |  T1,1996 |  T2,1996 |  T3,1996 |  T4,1996 |  6 Meses,1996 |  9 Meses,1996 |  Anual,1997 |  T1,1997 |  T2,1997 |  T3,1997 |  T4,1997 |  6 Meses,1997 |  9 Meses,1997 |  Anual,1998 |  T1,1998 |  T2,1998 |  T3,1998 |  T4,1998 |  6 Meses,1998 |  9 Meses,1998 |  Anual,1999 |  T1,1999 |  T2,1999 |  T3,1999 |  T4,1999 |  6 Meses,1999 |  9 Meses,1999 |  Anual,2000 |  T1,2000 |  T2,2000 |  T3,2000 |  T4,2000 |  6 Meses,2000 |  9 Meses,2000 |  Anual,2001 |  T1,2001 |  T2,2001 |  T3,2001 |  T4,2001 |  6 Meses,2001 |  9 Meses,2001 |  Anual,2002 |  T1,2002 |  T2,2002 |  T3,2002 |  T4,2002 |  6 Meses,2002 |  9 Meses,2002 |  Anual,2003 |  T1,2003 |  T2,2003 |  T3,2003 |  T4,2003 |  6 Meses,2003 |  9 Meses,2003 |  Anual,2004 |  T1,2004 |  T2,2004 |  T3,2004 |  T4,2004 |  6 Meses,2004 |  9 Meses,2004 |  Anual,2005 |  T1,2005 |  T2,2005 |  T3,2005 |  T4,2005 |  6 Meses,2005 |  9 Meses,2005 |  Anual,2006 |  T1,2006 |  T2,2006 |  T3,2006 |  T4,2006 |  6 Meses,2006 |  9 Meses,2006 |  Anual,2007 |  T1,2007 |  T2,2007 |  T3,2007 |  T4,2007 |  6 Meses,2007 |  9 Meses,2007 |  Anual,2008 |  T1,2008 |  T2,2008 |  T3,2008 |  T4,2008 |  6 Meses,2008 |  9 Meses,2008 |  Anual,2009 |  T1,2009 |  T2,2009 |  T3,2009 |  T4,2009 |  6 Meses,2009 |  9 Meses,2009 |  Anual,2010 |  T1,2010 |  T2,2010 |  T3,2010 |  T4,2010 |  6 Meses,2010 |  9 Meses,2010 |  Anual,2011 |  T1,2011 |  T2,2011 |  T3,2011 |  T4,2011 |  6 Meses,2011 |  9 Meses,2011 |  Anual,2012 |  T1,2012 |  T2,2012 |  T3,2012 |  T4,2012 |  6 Meses,2012 |  9 Meses,2012 |  Anual,2013 |  T1,2013 |  T2,2013 |  T3,2013 |  T4,2013 |  6 Meses,2013 |  9 Meses,2013 |  Anual,2014 |  T1,2014 |  T2,2014 |  T3,2014 |  T4,2014 |  6 Meses,2014 |  9 Meses,2014 |  Anual,2015 |  T1,2015 |  T2,2015 |  T3,2015 |  T4,2015 |  6 Meses,2015 |  9 Meses,2015 |  Anual,2016 |  T1,2016 |  T2,2016 |  T3,2016 |  T4,2016 |  6 Meses,2016 |  9 Meses,2016 |  Anual,2017 |  T1,2017 |  T2,2017 |  T3,2017 |  T4,2017 |  6 Meses,2017 |  9 Meses,2017 |  Anual,2018 |  T1,2018 |  T2,2018 |  T3,2018 |  T4,2018 |  6 Meses,2018 |  9 Meses,2018 |  Anual,2019 |  T1,2019 |  T2,2019 |  T3,2019 |  T4,2019 |  6 Meses,2019 |  9 Meses,2019 |  Anual,2020 |  T1,2020 |  T2,2020 |  T3,2020 |  T4,2020 |  6 Meses,2020 |  9 Meses,2020 |  Anual,2021 |  T1,2021 |  T2,2021 |  T3,2021 |  T4,2021 |  6 Meses,2021 |  9 Meses,2021 |  Anual,2022 |  T1 R,2022 |  T2 R,2022 |  T3 R,2022 |  T4 R,2022 |  6 Meses R,2022 |  9 Meses R,2022 |  Anual R,2023 |  T1 R,2023 |  T2 R,2023 |  T3 R,2023 |  T4 R,2023 |  6 Meses R,2023 |  9 Meses R,2023 |  Anual R,2024 |  T1 R,2024 |  T2 R,2024 |  T3 P,2024 |  T4,2024 |  6 Meses R,2024 |  9 Meses P,2024 |  Anual
51 - Información en medios masivos,21620.579,23216.031,25916.174,26237.532,22418.305,23584.261,24247.579,26651.787000000004,28685.574999999997,30451.168,30615.145,27668.681,28596.177,29100.919,29979.86,32608.982000000004,34884.369,35490.865,31294.421,32491.07,33241.019,34539.846999999994,40440.52599999999,47893.49399999999,49737.133,37490.187,40957.956,43152.75,43736.704,47788.292,52095.111,61007.774,45762.498,47873.369,51156.97,63629.52900000001,66794.042,69814.49500000001,72609.863,65211.786,66746.022,68211.982,76350.714,84662.743,90292.635,99720.38200000001,80506.729,83768.697,87756.619,97780.655,104304.364,107756.838,115760.08,101042.51,103280.619,106400.484,115412.061,123456.39700000001,124878.668,130926.19099999999,119434.229,121249.042,123668.329,125036.6,133572.893,133539.078,141486.612,129304.747,130716.19,133408.796,133360.022,142980.18,144486.201,161292.86000000002,138170.101,140275.468,145529.816,158420.152,167712.29399999997,172620.69900000002,190336.06,163066.223,166251.048,172272.301,187708.823,196310.681,200546.577,218440.195,192009.752,194855.36,200751.569,212704.743,229556.02599999998,234426.76200000002,257010.525,221130.385,225562.51,233424.514,259306.043,271008.489,284147.199,297643.27400000003,265157.266,271487.244,278026.251,283015.857,301805.347,291185.727,307747.02800000005,292410.602,292002.31,295938.49,292442.54800000007,322391.86799999996,308281.261,322127.662,307417.208,307705.226,311310.835,309046.58300000004,334113.688,328191.591,331901.593,321580.136,323783.954,325813.364,314398.46800000005,317732.77400000003,320971.2,327241.46,316065.621,317700.814,320085.976,324804.29,336325.42500000005,330470.803,315230.332,330564.858,330533.506,326707.713,312358.331,341540.651,337892.531,357126.69999999995,326949.491,330597.171,337229.553,337739.654,356485.88100000005,335188.78300000005,346783.542,347112.768,343138.106,344049.465,326712.518,348202.502,346452.7349999999,352811.72500000003,337457.51,340455.918,343544.87,325218.985,329623.47699999996,321172.384,339342.772,327421.231,325338.282,328839.405,333147.96700000006,348724.994,347631.708,370249.344,340936.481,343168.223,349938.503,340113.70999999996,374138.80399999995,371772.68100000004,399017.505,357126.257,362008.398,371260.675,352636.873,369294.644,393093.376,406209.45999999996,360965.759,371674.964,380308.588,352275.314,313871.457,334656.7,379724.50499999995,333073.386,333601.157,345131.994,354205.25100000005,371243.43100000004,370423.15300000005,403986.448,362724.341,365290.612,374964.571,402992.37399999995,427887.349,396155.427,453003.12399999995,415439.862,409011.717,420009.569,408221.488,467749.367,443226.56700000004,459010.05799999996,437985.428,439732.474,444551.87,441091.335,470718.601,452436.54799999995,,455904.968,454748.828,
"511 - Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión",2097.179,2419.084,4097.996,2679.782,2258.132,2871.42,2823.51,2447.809,3108.466,4589.109,2962.689,2778.138,3381.795,3277.018,2842.285,3090.17,5070.661,3658.404,2966.228,3667.705,3665.38,2797.181,3383.017,5808.097,4243.624,3090.099,3996.098,4057.98,3375.824,4100.168,7628.952,5134.184,3737.996,5034.981,5059.782,4269.031,4808.081,8922.549,6112.987,4538.556,5999.887,6028.162,5374.75,6542.978,10042.952,7444.436,5958.864,7320.227,7351.279,6732.141,8007.999,11223.123,8524.633,7370.07,8654.421,8621.974,7013.464,8881.259,11738.193,8748.64,7947.362,9210.972,9095.389,6840.269,9490.104,11246.552,10143.283,8165.187,9192.308,9430.052,7692.519,9665.399,10681.809,10205.553,8678.959,9346.576,9561.32,8004.65,10346.125,11492.769,10306.971,9175.388,9947.848,10037.629,8434.301,10767.786,11825.738,10988.375,9601.044,10342.608,10504.05,8915.362,11440.146,12549.559,11502.697,10177.754,10968.356,11101.941,9899.528,12573.47,13618.511,12827.084,11236.499,12030.503,12229.648,10629.21,13420.75,14423.224,13553.204,12024.98,12824.395,13006.597,10725.254,13344.562,14138.256,12463.247,12034.908,12736.024,12667.83,10616.986,13864.451,14714.922,13124.965,12240.719,13065.453,13080.331,11275.967,14238.139,15881.37,14371.604,12757.053,13798.492,13941.77,11919.931,15137.087,16467.859,14711.724,13528.509,14508.292,14559.15,11842.81,15523.102,16167.465,15039.259,13682.956,14511.126,14643.159,12716.188,15721.277,16253.059,15039.377,14218.733,14896.841,14932.475,13777.765,16407.521,16550.104,16220.858,15092.643,15578.463,15739.062,13093.359,17131.183,17449.614,17633.284,15112.271,15891.385,16326.86,13786.306,17562.268,17935.028,17741.631,15674.287,16427.867,16756.308,12634.477,17544.291,18285.905,16929.299,15089.384,16154.891,16348.493,10445.701,15252.462,20257.064,16270.601,12849.082,15318.409,15556.457,11926.203,11858.397,15055.387,15063.717,11892.3,12946.662,13475.926,10500.729,13866.829,17920.572,18294.518,12183.779,14096.043,15145.662,13993.107,20780.95,20280.695,22278.603,17387.029,18351.584,19333.339,13401.46,15989.139,21138.865,18066.915,14695.3,16843.155,17149.095,12010.609,14867.726,18201.675,,13439.168,15026.67,
"512 - Industria fílmica y del video, e industria del sonido",1549.65,2217.769,1525.992,1668.661,1883.71,1764.47,1740.518,1913.785,2485.154,1614.984,1712.933,2199.47,2004.641,1931.714,1981.312,2619.289,1888.325,2114.798,2300.301,2162.975,2150.931,2631.897,3623.063,2603.24,2851.096,3127.48,2952.733,2927.324,3559.891,4644.546,3348.244,3785.284,4102.219,3850.894,3834.491,4868.974,6946.069,4843.091,4923.258,5907.522,5552.711,5395.348,6711.444,9193.555,6128.495,6457.758,7952.5,7344.498,7122.813,8198.608,11068.626,7585.799,8010.847,9633.617,8951.011,8715.97,9430.899,12601.591,8084.039,8713.275,11016.245,10038.843,9707.451,9915.729,14440.224,9187.494,9106.281,12177.977,11181.149,10662.432,10483.848,14245.661,9118.754,8919.609,12364.755,11282.754,10691.968,10720.437,14157.446,9678.683,9502.634,12438.942,11518.855,11014.8,11700.019,15405.37,10768.921,9926.298,13552.695,12624.77,11950.152,13005.372,16761.364,11499.554,10504.774,14883.368,13755.43,12942.766,13892.52,17588.451,13010.162,11779.159,15740.486,14830.378,14067.573,14477.845,19810.457,14251.866,12223.136,17144.151,16180.056,15190.826,13821.962,18975.522,15292.698,13695.795,16398.742,16030.061,15446.494,15221.934,22896.73,18358.8,15152.76,19059.332,18825.821,17907.556,16029.297,24505.255,19952.485,16287.138,20267.276,20162.346,19193.544,17498.968,29161.08,22238.703,19092.565,23330.024,22966.25,21997.829,19452.765,29220.898,26113.339,20782.042,24336.832,24929.001,23892.261,21582.134,31888.53,25335.942,22807.41,26735.332,26268.869,25403.504,25210.587,35162.529,27699.674,25676.718,30186.558,29357.597,28437.377,28932.886,36015.23,34785.904,30733.196,32474.058,33244.673,32616.804,32112.966,38178.95,34906.931,35292.337,35145.958,35066.282,35122.796,31785.047,43421.81,38987.467,33567.676,37603.429,38064.775,36940.5,36867.514,52282.804,43637.66,34001.742,44575.159,44262.659,41697.43,27013.364,6155.279,10310.67,13369.671,16584.322,14493.104,14212.246,10122.441,23635.505,20076.223,22289.406,16878.973,17944.723,19030.894,18124.381,37026.953,25960.07,25711.785,27575.667,27037.135,26705.797,25064.801,46356.735,35960.87,27392.182,35710.768,35794.135,33693.647,26560.076,47784.122,36281.584,,37172.099,36875.261,
515 - Radio y televisión,834.562,1133.154,1579.401,1627.763,983.858,1182.372,1293.72,1061.498,1417.417,1950.209,1932.936,1239.458,1476.375,1590.515,1366.153,1725.242,2151.654,2086.199,1545.698,1747.683,1832.312,1424.051,2548.528,3307.456,3608.161,1986.29,2426.678,2722.049,2681.659,3208.002,4323.196,4655.427,2944.831,3404.286,3717.071,3293.132,4285.708,5392.609,5082.264,3789.42,4323.816,4513.428,4435.249,4988.909,6017.155,7140.254,4712.079,5147.104,5645.392,5015.353,6206.51,8054.054,8320.272,5610.932,6425.306,6899.047,5579.751,6160.636,8198.171,9289.582,5870.194,6646.186,7307.035,6526.676,8525.358,11797.066,11681.763,7526.017,8949.7,9632.716,7368.757,8585.994,11580.283,16068.67,7977.376,9178.345,10900.926,9096.921,10553.5,14916.137,18563.934,9825.211,11522.186,13282.623,10676.789,11433.153,15027.466,18414.459,11054.971,12379.136,13887.967,10679.158,12510.407,16069.016,20364.287,11594.783,13086.194,14905.717,13044.29,14703.733,19810.766,23498.315,13874.012,15852.93,17764.276,15006.268,16268.866,21902.511,24420.535,15637.567,17725.882,19399.545,16602.909,17798.783,22431.836,26230.908,17200.846,18944.509,20766.109,17957.664,19698.884,25543.964,30759.44,18828.274,21066.837,23489.988,20413.327,20821.587,27115.159,33872.199,20617.457,22783.358,25555.568,21308.213,22141.951,28928.608,36773.957,21725.082,24126.257,27288.182,21789.518,22685.789,30745.989,41777.068,22237.654,25073.765,29249.591,24805.065,24198.274,30401.6,42741.356,24501.67,26468.313,30536.574,27146.241,28823.156,31482.959,44785.636,27984.699,29150.785,33059.498,28193.537,28522.949,32147.541,46001.908,28358.243,29621.342,33716.484,30790.846,33265.764,37331.156,49010.106,32028.305,33795.922,37599.468,32492.716,34722.368,44494.659,54761.325,33607.542,37236.581,41617.767,33059.459,32840.832,39216.217,51142.025,32950.146,35038.836,39064.633,31676.123,20748.763,34157.357,48093.537,26212.443,28860.748,33668.945,38516.703,34651.073,46707.431,57460.066,36583.888,39958.402,44333.818,52466.687,64894.034,63305.989,92557.483,58680.361,60222.237,68306.048,51931.719,81664.132,69092.138,73718.086,66797.926,67562.663,69101.519,57832.041,76255.131,74147.405,,67043.586,69411.526,
517 - Telecomunicaciones,16527.163,16884.862,18098.528,19464.434,16706.013,17170.184,17743.747,20386.025,20865.188,21379.014,22788.228,20625.607,20876.742,21354.614,22462.898,23914.04,24348.921,25726.957,23188.469,23575.286,24113.204,25740.685,29149.823,34294.543,36622.806,27445.254,29728.35,31451.964,31635.929,33561.584,34425.119,44450.964,32598.757,33207.544,36018.399,48118.47,47975.145,47729.704,52943.377,48046.808,47941.106,49191.674,56180.646,60568.778,64459.192,74221.932,58374.712,60402.872,63857.637,73234.118,74960.628,76604.394,85819.356,74097.373,74933.047,77654.624,88504.895,91610.339,92461.039,99070.68,90057.617,90858.758,92911.738,96970.663,96807.694,96861.016,105325.823,96889.179,96879.791,98991.299,102723.954,105958.951,108490.322,120303.108,104341.453,105724.409,109369.084,124722.516,127182.393,131018.289,145028.557,125952.455,127641.066,131987.939,150168.922,152575.981,156960.316,171785.829,151372.452,153235.073,157872.762,173587.628,182797.718,188198.663,206870.835,178192.673,181528.003,187863.711,215013.53,219063.486,230791.066,240684.05,217038.508,221622.694,226388.033,234816.377,244410.033,233310.499,248787.646,239613.205,237512.303,240331.139,243831.339,264771.485,249454.52,261387.576,254301.412,252685.781,254861.23,257226.875,269424.783,261424.146,264942.052,263325.829,262691.935,263254.464,258598.583,249966.231,249607.522,254206.16,254282.407,252724.112,253094.624,265690.327,260583.903,253762.567,235986.807,263137.115,260012.266,254005.901,251202.152,265345.612,256631.376,270747.312,258273.882,257726.38,260981.613,270502.475,275390.102,254299.647,257189.896,272946.289,266730.741,264345.53,251731.7,258239.995,262003.098,257255.595,254985.848,257324.931,257307.597,246981.382,238892.365,227937.868,235760.044,242936.874,237937.205,237392.915,247286.739,249955.334,247786.409,258218.583,248621.037,248342.827,250811.766,254194.573,268439.11,260232.053,283109.884,261316.842,260955.245,266493.905,262534.069,258522.837,279450.552,294312.394,260528.453,266835.819,273704.963,272558.244,264863.843,266893.397,293703.615,268711.044,268105.161,274504.775,286118.156,288914.356,275088.471,292957.192,287516.256,283373.661,285769.544,307161.778,293652.661,274356.333,298970.464,300407.22,291723.591,293535.309,305495.693,310180.65,304132.121,324542.605,307838.172,306602.821,311087.767,331695.032,318959.49,310611.421,,325327.261,320421.981,
"518 - Procesamiento electrónico de información, hospedaje y otros servicios relacionados",455.932,382.396,406.057,547.639,419.164,414.795,448.006,649.507,573.188,626.329,855.715,611.348,616.341,676.185,1046.812,904.947,984.574,1364.183,975.88,978.778,1075.129,1561.244,1278.162,1321.518,1743.728,1419.703,1386.975,1476.163,2015.751,1694.862,1677.359,2161.335,1855.307,1795.991,1887.327,2492.533,2072.528,2083.061,2590.302,2282.531,2216.041,2309.606,2968.446,2523.948,2603.98,3255.546,2746.197,2698.791,2837.98,3737.376,3032.697,3054.364,3694.367,3385.037,3274.812,3379.701,3958.682,3130.023,3123.045,3708.954,3544.353,3403.917,3480.176,3871.402,3205.315,3160.179,3811.212,3538.359,3412.299,3512.027,4127.57,3371.484,3270.453,4221.073,3749.527,3589.836,3747.645,4759.288,4058.072,3866.556,5039.936,4408.68,4227.972,4430.963,5435.407,4537.883,4184.965,5309.537,4986.645,4719.418,4866.948,5226.874,4445.618,4293.324,5668.276,4836.246,4655.272,4908.523,5988.457,5231.508,4836.097,6400.982,5609.983,5352.021,5614.261,6563.252,5944.178,5081.052,6220.454,6253.715,5862.827,5952.234,5821.586,5500.088,4712.219,5954.022,5660.837,5344.631,5496.979,6464.33,6285.357,5996.586,5701.594,6374.844,6248.758,6111.967,6522.503,6495.884,6513.232,6513.185,6509.194,6510.54,6511.201,6577.301,7251.335,6957.93,6688.278,6914.318,6928.855,6868.711,6271.416,6930.346,6353.016,6755.979,6600.881,6518.259,6577.689,6319.641,7197.847,6680.689,6637.347,6758.744,6732.726,6708.881,6795.447,7277.675,6249.127,6222.89,7036.561,6774.083,6636.285,5671.571,6557.891,6415.803,6765.267,6114.731,6215.088,6352.633,7105.46,7684.381,7402.891,8085.099,7394.921,7397.577,7569.458,7616.611,8495.63,8217.612,8947.719,8056.121,8109.951,8319.393,8431.437,9097.458,9081.752,9000.165,8764.448,8870.216,8902.703,7928.985,9209.784,7137.896,8103.024,8569.385,8092.222,8094.922,7778.417,8980.911,9307.406,11439.73,8379.664,8688.911,9376.616,9839.701,10098.022,10949.367,11779.787,9968.862,10295.697,10666.719,10984.618,12253.058,11498.498,13715.81,11618.838,11578.725,12112.996,11597.88,11509.742,11735.576,,11553.811,11614.399,
519 - Otros servicios de información,156.093,178.766,208.2,249.253,167.43,181.02,198.078,193.163,236.162,291.523,362.644,214.663,240.283,270.873,280.4,355.294,440.234,540.324,317.847,358.643,404.063,384.789,457.933,558.64,667.718,421.361,467.121,517.27,467.65,579.13,692.241,820.58,523.39,579.674,639.9,587.389,706.511,843.481,957.675,646.95,712.46,773.764,680.179,844.575,1040.861,1200.456,762.377,855.205,941.518,863.059,1027.904,1235.104,1390.605,945.482,1042.022,1129.168,924.37,1072.549,1274.181,1395.06,998.46,1090.367,1166.54,911.861,1104.198,1286.771,1418.25,1008.03,1100.943,1180.27,963.374,1152.691,1344.58,1574.847,1058.033,1153.548,1258.873,1116.34,1414.758,1648.265,1894.028,1265.549,1393.121,1518.348,1293.385,1590.508,1779.171,2015.697,1441.947,1554.355,1669.69,1290.349,1600.773,1816.646,2099.656,1445.561,1569.256,1701.856,1467.718,1847.841,2080.597,2453.684,1657.78,1798.719,1962.46,1522.905,1951.063,2216.575,2542.053,1736.984,1896.848,2058.149,1639.498,2001.428,2251.732,2396.114,1820.463,1964.219,2072.193,1558.794,1943.483,2153.173,2220.782,1751.139,1885.15,1969.058,1558.791,1705.678,1901.432,1991.174,1632.235,1721.967,1789.269,1809.55,2050.069,2115.136,1977.001,1929.81,1991.585,1987.939,1799.67,1834.904,1881.346,2025.04,1817.287,1838.64,1885.24,1814.151,2089.851,2217.846,2368.156,1952.001,2040.616,2122.501,2050.778,2291.626,2467.773,2650.028,2171.202,2270.059,2365.051,2346.25,2503.859,2435.654,2449.073,2425.055,2428.588,2433.709,2065.65,2078.297,2269.293,1901.588,2071.974,2137.747,2078.707,1390.286,1515.595,1554.985,1701.602,1452.941,1486.955,1540.617,1298.693,1298.251,1450.131,1482.533,1298.472,1349.025,1382.402,1172.395,1035.391,1101.993,1390.941,1103.893,1103.26,1175.18,1168.805,1194.757,1323.05,1545.536,1181.781,1228.871,1308.037,1406.72,1434.729,1302.973,1705.002,1420.725,1381.474,1462.356,1343.197,1305.653,1404.075,1574.46,1324.425,1350.975,1406.846,1395.697,1342.39,1458.887,,1369.044,1398.991,
52 - Servicios financieros y de seguros,61997.05300000001,66380.322,64280.596999999994,66455.10800000001,64188.688,64219.324,64778.27,65529.226,66646.95,66038.319,74777.301,66088.088,66071.498,68247.949,79909.741,86462.115,80518.861,85119.43900000001,83185.928,82296.906,83002.539,80602.58899999999,70453.739,65036.445,69308.78600000001,75528.164,72030.924,71350.39,71844.592,71991.332,69161.713,73888.367,71917.962,70999.212,71721.501,83083.23700000001,85250.87899999999,85868.80500000001,94310.13,84167.058,84734.307,87128.263,105981.75399999999,110028.836,112286.74300000002,117474.738,108005.295,109432.444,111443.018,115578.08,110077.844,112180.987,117266.84000000001,112827.962,112612.304,113775.938,146666.88199999998,150688.538,156600.278,161384.465,148677.71,151318.566,153835.041,162584.819,162267.694,162382.934,164156.997,162426.257,162411.816,162848.111,186679.069,188999.38799999998,178063.831,195969.571,187839.229,184580.763,187427.965,193700.95800000004,203907.02899999998,223893.39400000003,243923.593,198803.994,207167.127,216356.244,267571.56799999997,280291.305,282149.842,294316.29699999996,273931.437,276670.905,281082.253,293542.319,298646.477,299997.525,324377.212,296094.398,297395.44,304140.883,339844.25100000005,349826.838,361782.104,381272.568,344835.545,350484.398,358181.44,375099.724,408317.256,410100.867,372557.7849999999,391708.49,397839.282,391518.908,405935.74199999997,406463.593,428656.10500000004,408575.868,406199.668,413685.147,412407.827,434930.261,437794.43899999995,426747.514,456770.912,436362.35,433157.405,439060.782,447036.534,440536.418,451849.505,495232.939,443786.476,446474.152,458663.849,481408.523,461873.00800000003,480732.69899999996,522088.99,471640.766,474671.41,486525.805,532075.7089999999,562788.487,569392.853,609877.214,547432.098,554752.35,568533.566,592338.373,590250.633,590609.6259999999,623784.72,591294.503,591066.211,599245.838,604669.051,600278.364,613845.913,662875.9999999999,602473.708,606264.443,620417.332,696410.892,696040.4369999999,730235.16,786589.2309999999,696225.665,707562.163,727318.93,795436.9589999999,793039.2679999999,819194.1910000001,856142.0580000001,794238.114,802556.806,815953.119,843413.78,846616.5750000001,903496.37,953113.306,845015.178,864508.908,886660.008,941367.004,932023.693,931981.531,939725.8730000001,936695.349,935124.076,936274.525,974147.628,925003.336,922818.421,918314.5829999999,949575.482,940656.462,935070.992,891860.574,920423.3470000001,950727.155,984732.015,906141.961,921003.692,936935.773,1065063.3029999998,1142539.105,1194606.749,1252928.8429999999,1103801.204,1134069.719,1163784.5,1368690.4030000002,1422885.8710000003,1430378.5929999999,1400227.474,1395788.137,1407318.289,1405545.585,1498593.9719999998,1557094.451,1540838.799,,1527844.212,1532175.741,
521 - Banca central,1679.031,1707.109,1794.592,1933.8,1693.07,1726.911,1778.633,2102.735,2068.604,2047.336,1994.034,2085.67,2072.892,2053.177,1924.897,1872.263,1880.132,2110.528,1898.58,1892.431,1946.955,2110.144,2299.355,2603.777,3051.104,2204.75,2337.759,2516.095,3178.247,3275.611,3454.671,3656.842,3226.929,3302.843,3391.343,3745.427,3826.733,3928.798,4294.502,3786.08,3833.653,3948.865,4414.097,4453.738,4669.816,4912.76,4433.918,4512.55,4612.603,4947.889,4987.082,5218.089,5000.224,4967.486,5051.02,5038.321,4514.462,4881.499,4973.891,5170.144,4697.981,4789.951,4884.999,5022.457,5125.419,5602.165,6584.319,5073.938,5250.014,5583.59,7575.02,7763.634,7480.502,6501.267,7669.327,7606.385,7330.106,4952.029,4169.819,5700.541,8804.898,4560.924,4940.796,5906.822,13462.214,17209.171,19869.428,21529.31,15335.693,16846.938,18017.531,21501.321,21974.798,21864.68,23872.714,21738.06,21780.266,22303.378,26237.227,26449.363,25816.005,24639.428,26343.295,26167.532,25785.506,22116.225,19447.031,17909.255,17948.157,20781.628,19824.17,19355.167,19184.155,19802.877,20382.75,21349.086,19493.516,19789.927,20179.717,20574.558,21098.877,22271.568,24260.853,20836.718,21315.001,22051.464,26002.325,26147.961,24800.167,21677.115,26075.143,25650.151,24656.892,16525.333,11920.167,9755.185,10044.8,14222.75,12733.562,12061.371,12738.539,15071.376,16909.913,19033.756,13904.958,14906.609,15938.396,20355.628,20830.914,21019.633,20959.686,20593.271,20735.392,20791.465,20015.436,18956.184,18690.611,19299.189,19485.81,19220.744,19240.355,20869.976,22422.82,25217.751,29298.433,21646.398,22836.849,24452.245,34288.828,37087.42,38972.25,39851.006,35688.124,36782.833,37549.876,38414.459,37681.777,37467.66,38749.565,38048.118,37854.632,38078.365,40289.941,39741.437,40491.35,40937.371,40015.689,40174.243,40365.025,41337.008,40370.64,38107.235,34243.825,40853.824,39938.294,38514.677,29943.525,27704.66,28993.441,33903.169,28824.093,28880.542,30136.199,41643.179,48182.882,53601.682,56408.909,44913.031,47809.248,49959.163,58460.066,58875.546,59878.472,61361.324,58667.806,59071.361,59643.852,63756.832,64243.119,66229.42,,63999.976,64743.124,
522 - Instituciones de intermediación crediticia y financiera no bursátil,50410.725,55557.661,53891.612,55472.538,52984.193,53286.666,53833.134,54746.854,56254.39,56342.935,63611.361,55500.622,55781.393,57738.885,67469.499,73595.473,68687.653,70327.271,70532.486,69917.542,70019.974,65454.665,55425.527,49014.453,50499.515,60440.096,56631.548,55098.54,52490.409,51589.768,48276.477,53932.783,52040.089,50785.551,51572.359,60507.675,62107.025,60789.872,66949.848,61307.35,61134.857,62588.605,72314.591,69825.018,66707.621,72420.702,71069.805,69615.743,70316.983,71048.835,66511.701,69072.858,76962.297,68780.268,68877.798,70898.923,103706.495,106162.236,107330.123,111631.09,104934.366,105732.951,107207.486,109481.41,103253.056,101575.03,107569.24,106367.233,104769.832,105469.684,130078.923,134681.933,125013.303,144893.47,132380.428,129924.72,133666.907,137640.173,148239.366,161317.621,175703.04,142939.77,149065.72,155725.05,185992.114,193448.405,192188.288,212671.865,189720.26,190542.936,196075.168,214560.858,226345.338,229690.874,251682.514,220453.098,223532.357,230569.896,255316.952,262015.808,273068.745,298221.727,258666.38,263467.168,272155.808,293744.89,331203.741,334800.515,295627.682,312474.316,319916.382,313844.207,324769.214,316528.277,336226.302,319685.799,320648.746,325841.264,324302.398,343785.845,346952.875,331781.751,351309.221,345369.36,340840.157,343457.423,340640.795,331088.081,340637.636,384644.78,335864.438,337455.504,349252.823,369096.75,356480.448,377795.057,414730.097,362788.599,367790.752,379525.588,414401.74,442659.246,450307.028,485308.162,428530.493,435789.338,448169.044,471164.687,463138.509,465081.393,493921.307,467151.598,466461.53,473326.474,471596.117,460514.008,477784.527,526431.847,466055.063,469964.884,484081.625,548927.385,545969.381,574421.176,622887.629,547448.383,556439.314,573051.393,616370.992,609785.369,628825.432,655621.895,613078.181,618327.264,627650.922,638280.507,640061.155,696844.58,739942.675,639170.831,658395.414,678782.229,727751.571,727134.352,726578.833,723171.964,727442.962,727154.919,726159.18,751608.887,711389.51,716331.679,722671.299,731499.199,726443.359,725500.344,712949.986,761452.231,789879.237,803152.817,737201.109,754760.485,766858.568,848299.7,911707.406,945737.574,974489.54,880003.553,901914.893,920058.555,1059139.516,1114811.36,1105539.649,1061933.919,1086975.438,1093163.508,1085356.111,1151785.865,1219023.217,1195034.337,,1185404.541,1188614.473,
